Local Authority,Sum of Value,Measures,Year,Quarter,Month,Attribute
North West,1.3,Confidence,2018,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
North West,0.6,Confidence,2018,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
North West,2.1,Confidence,2018,Qtr 2,June,16+ unemployment rate - ethnic minority
North West,0.3,Confidence,2018,Qtr 2,June,16+ unemployment rate - white
North West,4.2,Confidence,2018,Qtr 2,June,16+ unemployment rate for all Black or black British
North West,3.7,Confidence,2018,Qtr 2,June,16+ unemployment rate for all Indians
North West,4.2,Confidence,2018,Qtr 2,June,16+ unemployment rate for all other ethnic group
North West,4.3,Confidence,2018,Qtr 2,June,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,1.4,Confidence,2018,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,1.9,Confidence,2018,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,2.1,Confidence,2018,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,2.9,Confidence,2018,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
North West,4.2,Confidence,2018,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,3.8,Confidence,2018,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,1.4,Confidence,2018,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
North West,1.3,Confidence,2018,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
North West,0.6,Confidence,2018,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
North West,2,Confidence,2018,Qtr 4,December,16+ unemployment rate - ethnic minority
North West,0.3,Confidence,2018,Qtr 4,December,16+ unemployment rate - white
North West,4.1,Confidence,2018,Qtr 4,December,16+ unemployment rate for all Black or black British
North West,3.2,Confidence,2018,Qtr 4,December,16+ unemployment rate for all Indians
North West,5.3,Confidence,2018,Qtr 4,December,16+ unemployment rate for all other ethnic group
North West,4,Confidence,2018,Qtr 4,December,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,1.4,Confidence,2018,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,1.9,Confidence,2018,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,2.1,Confidence,2018,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,3,Confidence,2019,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
North West,4.3,Confidence,2019,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,3.9,Confidence,2019,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,1.4,Confidence,2019,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
North West,1.3,Confidence,2019,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
North West,0.6,Confidence,2019,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
North West,2.1,Confidence,2019,Qtr 2,June,16+ unemployment rate - ethnic minority
North West,0.3,Confidence,2019,Qtr 2,June,16+ unemployment rate - white
North West,5.2,Confidence,2019,Qtr 2,June,16+ unemployment rate for all Black or black British
North West,3.1,Confidence,2019,Qtr 2,June,16+ unemployment rate for all Indians
North West,5.6,Confidence,2019,Qtr 2,June,16+ unemployment rate for all other ethnic group
North West,3.9,Confidence,2019,Qtr 2,June,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,1.4,Confidence,2019,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,1.9,Confidence,2019,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,2.1,Confidence,2019,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,3,Confidence,2019,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
North West,4.3,Confidence,2019,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,3.9,Confidence,2019,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,1.4,Confidence,2019,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
North West,1.3,Confidence,2019,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
North West,0.6,Confidence,2019,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
North West,2,Confidence,2019,Qtr 4,December,16+ unemployment rate - ethnic minority
North West,0.3,Confidence,2019,Qtr 4,December,16+ unemployment rate - white
North West,5,Confidence,2019,Qtr 4,December,16+ unemployment rate for all Black or black British
North West,3,Confidence,2019,Qtr 4,December,16+ unemployment rate for all Indians
North West,5.1,Confidence,2019,Qtr 4,December,16+ unemployment rate for all other ethnic group
North West,3.7,Confidence,2019,Qtr 4,December,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,1.4,Confidence,2019,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,1.9,Confidence,2019,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,2.2,Confidence,2019,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,3.2,Confidence,2020,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
North West,4.6,Confidence,2020,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,4.3,Confidence,2020,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,1.5,Confidence,2020,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
North West,1.4,Confidence,2020,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
North West,0.7,Confidence,2020,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
North West,2,Confidence,2020,Qtr 2,June,16+ unemployment rate - ethnic minority
North West,0.3,Confidence,2020,Qtr 2,June,16+ unemployment rate - white
North West,4.3,Confidence,2020,Qtr 2,June,16+ unemployment rate for all Black or black British
North West,4.9,Confidence,2020,Qtr 2,June,16+ unemployment rate for all other ethnic group
North West,3.5,Confidence,2020,Qtr 2,June,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,1.5,Confidence,2020,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,2,Confidence,2020,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,2.3,Confidence,2020,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,3.8,Confidence,2020,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
North West,5.4,Confidence,2020,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,5.2,Confidence,2020,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,1.6,Confidence,2020,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
North West,1.5,Confidence,2020,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
North West,0.7,Confidence,2020,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
North West,2.6,Confidence,2020,Qtr 4,December,16+ unemployment rate - ethnic minority
North West,0.4,Confidence,2020,Qtr 4,December,16+ unemployment rate - white
North West,6.6,Confidence,2020,Qtr 4,December,16+ unemployment rate for all Black or black British
North West,4.4,Confidence,2020,Qtr 4,December,16+ unemployment rate for all Indians
North West,6.5,Confidence,2020,Qtr 4,December,16+ unemployment rate for all other ethnic group
North West,4.1,Confidence,2020,Qtr 4,December,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,1.7,Confidence,2020,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,2.2,Confidence,2020,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,2.6,Confidence,2020,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,4.1,Confidence,2021,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
North West,5.7,Confidence,2021,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,5.6,Confidence,2021,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,1.7,Confidence,2021,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
North West,1.6,Confidence,2021,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
North West,0.7,Confidence,2021,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
North West,3.1,Confidence,2021,Qtr 2,June,16+ unemployment rate - ethnic minority
North West,0.4,Confidence,2021,Qtr 2,June,16+ unemployment rate - white
North West,7.8,Confidence,2021,Qtr 2,June,16+ unemployment rate for all Black or black British
North West,6.1,Confidence,2021,Qtr 2,June,16+ unemployment rate for all Indians
North West,6.3,Confidence,2021,Qtr 2,June,16+ unemployment rate for all other ethnic group
North West,5,Confidence,2021,Qtr 2,June,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,1.7,Confidence,2021,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,2.2,Confidence,2021,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,2.6,Confidence,2021,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,4.1,Confidence,2021,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
North West,5.8,Confidence,2021,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,5.4,Confidence,2021,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,1.7,Confidence,2021,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
North West,1.6,Confidence,2021,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
North West,0.8,Confidence,2021,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
North West,2.9,Confidence,2021,Qtr 4,December,16+ unemployment rate - ethnic minority
North West,0.4,Confidence,2021,Qtr 4,December,16+ unemployment rate - white
North West,8.2,Confidence,2021,Qtr 4,December,16+ unemployment rate for all Black or black British
North West,5.8,Confidence,2021,Qtr 4,December,16+ unemployment rate for all other ethnic group
North West,5.9,Confidence,2021,Qtr 4,December,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,1.7,Confidence,2021,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,2.2,Confidence,2021,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,2.7,Confidence,2021,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,4.2,Confidence,2022,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
North West,6.1,Confidence,2022,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,5.4,Confidence,2022,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,1.8,Confidence,2022,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
North West,1.7,Confidence,2022,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
North West,0.8,Confidence,2022,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
North West,2.9,Confidence,2022,Qtr 2,June,16+ unemployment rate - ethnic minority
North West,0.4,Confidence,2022,Qtr 2,June,16+ unemployment rate - white
North West,8.3,Confidence,2022,Qtr 2,June,16+ unemployment rate for all Black or black British
North West,6.1,Confidence,2022,Qtr 2,June,16+ unemployment rate for all other ethnic group
North West,6.2,Confidence,2022,Qtr 2,June,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,1.7,Confidence,2022,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,2.3,Confidence,2022,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,2.7,Confidence,2022,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,4.2,Confidence,2022,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
North West,6,Confidence,2022,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,5.5,Confidence,2022,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,1.9,Confidence,2022,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
North West,1.8,Confidence,2022,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
North West,0.8,Confidence,2022,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
North West,2.8,Confidence,2022,Qtr 4,December,16+ unemployment rate - ethnic minority
North West,0.4,Confidence,2022,Qtr 4,December,16+ unemployment rate - white
North West,7.2,Confidence,2022,Qtr 4,December,16+ unemployment rate for all Black or black British
North West,5.7,Confidence,2022,Qtr 4,December,16+ unemployment rate for all other ethnic group
North West,5.2,Confidence,2022,Qtr 4,December,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,1.8,Confidence,2022,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,2.4,Confidence,2022,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,2.8,Confidence,2022,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,4.3,Confidence,2023,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
North West,6,Confidence,2023,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,5.8,Confidence,2023,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,2.1,Confidence,2023,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
North West,2,Confidence,2023,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
North West,0.9,Confidence,2023,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
North West,2.7,Confidence,2023,Qtr 2,June,16+ unemployment rate - ethnic minority
North West,0.4,Confidence,2023,Qtr 2,June,16+ unemployment rate - white
North West,6.7,Confidence,2023,Qtr 2,June,16+ unemployment rate for all Black or black British
North West,5,Confidence,2023,Qtr 2,June,16+ unemployment rate for all other ethnic group
North West,2,Confidence,2023,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,2.6,Confidence,2023,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,3.1,Confidence,2023,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,4.6,Confidence,2023,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
North West,6.5,Confidence,2023,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,6.1,Confidence,2023,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,2.3,Confidence,2023,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
North West,2.2,Confidence,2023,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
North West,1,Confidence,2023,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
North West,2.8,Confidence,2023,Qtr 4,December,16+ unemployment rate - ethnic minority
North West,0.5,Confidence,2023,Qtr 4,December,16+ unemployment rate - white
North West,7.5,Confidence,2023,Qtr 4,December,16+ unemployment rate for all Black or black British
North West,5.3,Confidence,2023,Qtr 4,December,16+ unemployment rate for all other ethnic group
North West,2.2,Confidence,2023,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,2.9,Confidence,2023,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,3.3,Confidence,2023,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,4.3,Confidence,2024,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
North West,6.3,Confidence,2024,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,5.5,Confidence,2024,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,2.3,Confidence,2024,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
North West,2.2,Confidence,2024,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
North West,1,Confidence,2024,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
North West,3,Confidence,2024,Qtr 2,June,16+ unemployment rate - ethnic minority
North West,0.5,Confidence,2024,Qtr 2,June,16+ unemployment rate - white
North West,8,Confidence,2024,Qtr 2,June,16+ unemployment rate for all Black or black British
North West,6.7,Confidence,2024,Qtr 2,June,16+ unemployment rate for all other ethnic group
North West,4.7,Confidence,2024,Qtr 2,June,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,2.1,Confidence,2024,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,2.7,Confidence,2024,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,3.1,Confidence,2024,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,3.9,Confidence,2024,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
North West,5.7,Confidence,2024,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,5.2,Confidence,2024,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,2.1,Confidence,2024,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
North West,2,Confidence,2024,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
North West,0.9,Confidence,2024,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
North West,2.8,Confidence,2024,Qtr 4,December,16+ unemployment rate - ethnic minority
North West,0.4,Confidence,2024,Qtr 4,December,16+ unemployment rate - white
North West,6.9,Confidence,2024,Qtr 4,December,16+ unemployment rate for all Black or black British
North West,5.9,Confidence,2024,Qtr 4,December,16+ unemployment rate for all other ethnic group
North West,5.7,Confidence,2024,Qtr 4,December,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,1.9,Confidence,2024,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,2.5,Confidence,2024,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,2.8,Confidence,2024,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,3.6,Confidence,2025,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
North West,5.2,Confidence,2025,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,4.8,Confidence,2025,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,2,Confidence,2025,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
North West,1.9,Confidence,2025,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
North West,0.9,Confidence,2025,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
North West,2.6,Confidence,2025,Qtr 2,June,16+ unemployment rate - ethnic minority
North West,0.4,Confidence,2025,Qtr 2,June,16+ unemployment rate - white
North West,5.5,Confidence,2025,Qtr 2,June,16+ unemployment rate for all Black or black British
North West,4.5,Confidence,2025,Qtr 2,June,16+ unemployment rate for all Indians
North West,5.4,Confidence,2025,Qtr 2,June,16+ unemployment rate for all other ethnic group
North West,5.9,Confidence,2025,Qtr 2,June,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,1.8,Confidence,2025,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,2.3,Confidence,2025,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,2.7,Confidence,2025,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,3.3,Confidence,2025,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
North West,4.8,Confidence,2025,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,4.4,Confidence,2025,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,1.9,Confidence,2025,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
North West,1.8,Confidence,2025,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
North West,0.8,Confidence,2025,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
North West,2.4,Confidence,2025,Qtr 4,December,16+ unemployment rate - ethnic minority
North West,0.4,Confidence,2025,Qtr 4,December,16+ unemployment rate - white
North West,4.6,Confidence,2025,Qtr 4,December,16+ unemployment rate for all Black or black British
North West,4.6,Confidence,2025,Qtr 4,December,16+ unemployment rate for all Indians
North West,5.1,Confidence,2025,Qtr 4,December,16+ unemployment rate for all other ethnic group
North West,5,Confidence,2025,Qtr 4,December,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,1.7,Confidence,2025,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,2.2,Confidence,2025,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,2.7,Confidence,2025,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,424200,Denominator,2013,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
North West,206400,Denominator,2013,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,217800,Denominator,2013,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,2056000,Denominator,2013,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
North West,2011300,Denominator,2013,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
North West,4067200,Denominator,2013,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
North West,269800,Denominator,2013,Qtr 2,June,16+ unemployment rate - ethnic minority
North West,3205400,Denominator,2013,Qtr 2,June,16+ unemployment rate - white
North West,54800,Denominator,2013,Qtr 2,June,16+ unemployment rate for all Black or black British
North West,52000,Denominator,2013,Qtr 2,June,16+ unemployment rate for all Indians
North West,56000,Denominator,2013,Qtr 2,June,16+ unemployment rate for all other ethnic group
North West,77900,Denominator,2013,Qtr 2,June,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,14300,Denominator,2013,Qtr 2,June,16+ unemployment rate for mixed ethnic group males
North West,435600,Denominator,2013,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
North West,214300,Denominator,2013,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,221300,Denominator,2013,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,2044400,Denominator,2013,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
North West,2003400,Denominator,2013,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
North West,4047800,Denominator,2013,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
North West,275000,Denominator,2013,Qtr 4,December,16+ unemployment rate - ethnic minority
North West,3179800,Denominator,2013,Qtr 4,December,16+ unemployment rate - white
North West,47600,Denominator,2013,Qtr 4,December,16+ unemployment rate for all Black or black British
North West,55500,Denominator,2013,Qtr 4,December,16+ unemployment rate for all Indians
North West,55300,Denominator,2013,Qtr 4,December,16+ unemployment rate for all other ethnic group
North West,85600,Denominator,2013,Qtr 4,December,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,16200,Denominator,2013,Qtr 4,December,16+ unemployment rate for mixed ethnic group males
North West,452800,Denominator,2014,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
North West,218700,Denominator,2014,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,234200,Denominator,2014,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,2035700,Denominator,2014,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
North West,1987200,Denominator,2014,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
North West,4022900,Denominator,2014,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
North West,291500,Denominator,2014,Qtr 2,June,16+ unemployment rate - ethnic minority
North West,3150700,Denominator,2014,Qtr 2,June,16+ unemployment rate - white
North West,51700,Denominator,2014,Qtr 2,June,16+ unemployment rate for all Black or black British
North West,51200,Denominator,2014,Qtr 2,June,16+ unemployment rate for all Indians
North West,61200,Denominator,2014,Qtr 2,June,16+ unemployment rate for all other ethnic group
North West,93500,Denominator,2014,Qtr 2,June,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,17500,Denominator,2014,Qtr 2,June,16+ unemployment rate for mixed ethnic group males
North West,963200,Denominator,2014,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,510400,Denominator,2014,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,452700,Denominator,2014,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,454800,Denominator,2014,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
North West,225400,Denominator,2014,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,229400,Denominator,2014,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,2027800,Denominator,2014,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
North West,1990900,Denominator,2014,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
North West,4018700,Denominator,2014,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
North West,300200,Denominator,2014,Qtr 4,December,16+ unemployment rate - ethnic minority
North West,3144700,Denominator,2014,Qtr 4,December,16+ unemployment rate - white
North West,56100,Denominator,2014,Qtr 4,December,16+ unemployment rate for all Black or black British
North West,55000,Denominator,2014,Qtr 4,December,16+ unemployment rate for all Indians
North West,57600,Denominator,2014,Qtr 4,December,16+ unemployment rate for all other ethnic group
North West,100900,Denominator,2014,Qtr 4,December,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,15400,Denominator,2014,Qtr 4,December,16+ unemployment rate for mixed ethnic group males
North West,973900,Denominator,2014,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,508900,Denominator,2014,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,465000,Denominator,2014,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,472700,Denominator,2015,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
North West,238100,Denominator,2015,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,234600,Denominator,2015,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,2019800,Denominator,2015,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
North West,1989900,Denominator,2015,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
North West,4009800,Denominator,2015,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
North West,296300,Denominator,2015,Qtr 2,June,16+ unemployment rate - ethnic minority
North West,3154400,Denominator,2015,Qtr 2,June,16+ unemployment rate - white
North West,56100,Denominator,2015,Qtr 2,June,16+ unemployment rate for all Black or black British
North West,53500,Denominator,2015,Qtr 2,June,16+ unemployment rate for all Indians
North West,60400,Denominator,2015,Qtr 2,June,16+ unemployment rate for all other ethnic group
North West,100300,Denominator,2015,Qtr 2,June,16+ unemployment rate for all Pakistanis/Bangladeshis
North West,11300,Denominator,2015,Qtr 2,June,16+ unemployment rate for mixed ethnic group males
North West,978000,Denominator,2015,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
North West,521500,Denominator,2015,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
North West,456500,Denominator,2015,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
North West,487200,Denominator,2015,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
North West,243300,Denominator,2015,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
North West,243800,Denominator,2015,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
North West,2016100,Denominator,2015,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
North West,1983000,Denominator,2015,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
North West,3999200,Denominator,2015,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
