Local Authority,Sum of Value,Measures,Year,Quarter,Month,Attribute
Blackburn with Darwen,1.9,Confidence,2019,Qtr 4,December,16+ unemployment rate - white
Blackburn with Darwen,6.1,Confidence,2019,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.1,Confidence,2019,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,9.1,Confidence,2019,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.5,Confidence,2020,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,11.9,Confidence,2020,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,11.3,Confidence,2020,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,7.5,Confidence,2020,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,7.4,Confidence,2020,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,3.3,Confidence,2020,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,5.1,Confidence,2020,Qtr 2,June,16+ unemployment rate - ethnic minority
Blackburn with Darwen,1.8,Confidence,2020,Qtr 2,June,16+ unemployment rate - white
Blackburn with Darwen,6.5,Confidence,2020,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.6,Confidence,2020,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,9.9,Confidence,2020,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,10.8,Confidence,2020,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,15.5,Confidence,2020,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,13.2,Confidence,2020,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,9,Confidence,2020,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,9.1,Confidence,2020,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,4,Confidence,2020,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,8.9,Confidence,2020,Qtr 4,December,16+ unemployment rate - ethnic minority
Blackburn with Darwen,1.8,Confidence,2020,Qtr 4,December,16+ unemployment rate - white
Blackburn with Darwen,7.5,Confidence,2020,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,9.8,Confidence,2020,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,11.3,Confidence,2020,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,11.9,Confidence,2021,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,17.3,Confidence,2021,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,15.2,Confidence,2021,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,10.7,Confidence,2021,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,9.6,Confidence,2021,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,4.6,Confidence,2021,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,2.7,Confidence,2021,Qtr 2,June,16+ unemployment rate - white
Blackburn with Darwen,8.6,Confidence,2021,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,10.9,Confidence,2021,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,13.9,Confidence,2021,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,11.5,Confidence,2021,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,16.6,Confidence,2021,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,15,Confidence,2021,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,10.9,Confidence,2021,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,10.2,Confidence,2021,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,4.7,Confidence,2021,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,2.9,Confidence,2021,Qtr 4,December,16+ unemployment rate - white
Blackburn with Darwen,8.9,Confidence,2021,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,11.8,Confidence,2021,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,13.4,Confidence,2021,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,13.1,Confidence,2022,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,18.3,Confidence,2022,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
