Local Authority,Attribute,Financial Year,Sum of Value
Blackpool Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2022,28389
Blackpool Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2023,27564
Blackpool Borough Council,Household dry recycling-reuse (tonnes),2014,17474
Blackpool Borough Council,Household dry recycling-reuse (tonnes),2015,17803
Blackpool Borough Council,Household dry recycling-reuse (tonnes),2016,15313
Blackpool Borough Council,Household dry recycling-reuse (tonnes),2017,16846
Blackpool Borough Council,Household dry recycling-reuse (tonnes),2018,16217
Blackpool Borough Council,Household dry recycling-reuse (tonnes),2019,16035
Blackpool Borough Council,Household dry recycling-reuse (tonnes),2020,12070
Blackpool Borough Council,Household dry recycling-reuse (tonnes),2021,18474
Blackpool Borough Council,Household dry recycling-reuse (tonnes),2022,16253
Blackpool Borough Council,Household dry recycling-reuse (tonnes),2023,16948
Blackpool Borough Council,Household green recycling-reuse (tonnes),2014,7865
Blackpool Borough Council,Household green recycling-reuse (tonnes),2015,11301
Blackpool Borough Council,Household green recycling-reuse (tonnes),2016,6046
Blackpool Borough Council,Household green recycling-reuse (tonnes),2017,5663
Blackpool Borough Council,Household green recycling-reuse (tonnes),2018,8635
Blackpool Borough Council,Household green recycling-reuse (tonnes),2019,8656
Blackpool Borough Council,Household green recycling-reuse (tonnes),2020,6405
Blackpool Borough Council,Household green recycling-reuse (tonnes),2021,8775
Blackpool Borough Council,Household green recycling-reuse (tonnes),2022,12137
Blackpool Borough Council,Household green recycling-reuse (tonnes),2023,10617
Blackpool Borough Council,Local authority collected - estimated rejects (tonnes),2014,385
Blackpool Borough Council,Local authority collected - estimated rejects (tonnes),2015,954
Blackpool Borough Council,Local authority collected - estimated rejects (tonnes),2016,626
Blackpool Borough Council,Local authority collected - estimated rejects (tonnes),2017,847
Blackpool Borough Council,Local authority collected - estimated rejects (tonnes),2018,867
Blackpool Borough Council,Local authority collected - estimated rejects (tonnes),2019,425
Blackpool Borough Council,Local authority collected - estimated rejects (tonnes),2020,1106
Blackpool Borough Council,Local authority collected - estimated rejects (tonnes),2021,1016
Blackpool Borough Council,Local authority collected - estimated rejects (tonnes),2022,1625
Blackpool Borough Council,Local authority collected - estimated rejects (tonnes),2023,979
Blackpool Borough Council,Local authority collected waste - not sent for recycling (tonnes),2014,44780
Blackpool Borough Council,Local authority collected waste - not sent for recycling (tonnes),2015,41797
Blackpool Borough Council,Local authority collected waste - not sent for recycling (tonnes),2016,48374
Blackpool Borough Council,Local authority collected waste - not sent for recycling (tonnes),2017,46521
Blackpool Borough Council,Local authority collected waste - not sent for recycling (tonnes),2018,43452
Blackpool Borough Council,Local authority collected waste - not sent for recycling (tonnes),2019,43857
Blackpool Borough Council,Local authority collected waste - not sent for recycling (tonnes),2020,52648
Blackpool Borough Council,Local authority collected waste - not sent for recycling (tonnes),2021,42795
Blackpool Borough Council,Local authority collected waste - not sent for recycling (tonnes),2022,38414
Blackpool Borough Council,Local authority collected waste - not sent for recycling (tonnes),2023,39412
Blackpool Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2014,26680
Blackpool Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2015,30688
Blackpool Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2016,23246
Blackpool Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2017,24473
Blackpool Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2018,26656
Blackpool Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2019,26077
Blackpool Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2020,19073
Blackpool Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2021,28999
Blackpool Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2022,31067
Blackpool Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2023,29922
Blackpool Borough Council,Non-household - estimated rejects (tonnes),2014,0
Blackpool Borough Council,Non-household - estimated rejects (tonnes),2015,0
Blackpool Borough Council,Non-household - estimated rejects (tonnes),2016,0
Blackpool Borough Council,Non-household - estimated rejects (tonnes),2017,0
Blackpool Borough Council,Non-household - estimated rejects (tonnes),2018,0
Blackpool Borough Council,Non-household - estimated rejects (tonnes),2019,0
Blackpool Borough Council,Non-household - estimated rejects (tonnes),2020,0
Blackpool Borough Council,Non-household - estimated rejects (tonnes),2021,0
Blackpool Borough Council,Non-household - estimated rejects (tonnes),2022,0
Blackpool Borough Council,Non-household - estimated rejects (tonnes),2023,0
Blackpool Borough Council,Non-household - total waste (tonnes),2014,7990
Blackpool Borough Council,Non-household - total waste (tonnes),2015,7938
Blackpool Borough Council,Non-household - total waste (tonnes),2016,7808
Blackpool Borough Council,Non-household - total waste (tonnes),2017,8038
Blackpool Borough Council,Non-household - total waste (tonnes),2018,7319
Blackpool Borough Council,Non-household - total waste (tonnes),2019,5639
Blackpool Borough Council,Non-household - total waste (tonnes),2020,4575
Blackpool Borough Council,Non-household - total waste (tonnes),2021,6500
Blackpool Borough Council,Non-household - total waste (tonnes),2022,7129
Blackpool Borough Council,Non-household - total waste (tonnes),2023,6624
Blackpool Borough Council,Non-household - waste not sent for recycling (tonnes),2014,6649
Blackpool Borough Council,Non-household - waste not sent for recycling (tonnes),2015,6354
Blackpool Borough Council,Non-household - waste not sent for recycling (tonnes),2016,5921
Blackpool Borough Council,Non-household - waste not sent for recycling (tonnes),2017,6075
Blackpool Borough Council,Non-household - waste not sent for recycling (tonnes),2018,5515
Blackpool Borough Council,Non-household - waste not sent for recycling (tonnes),2019,4254
Blackpool Borough Council,Non-household - waste not sent for recycling (tonnes),2020,3977
Blackpool Borough Council,Non-household - waste not sent for recycling (tonnes),2021,4749
Blackpool Borough Council,Non-household - waste not sent for recycling (tonnes),2022,4451
Blackpool Borough Council,Non-household - waste not sent for recycling (tonnes),2023,4266
Blackpool Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2014,1341
Blackpool Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2015,1584
Blackpool Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2016,1887
Blackpool Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2017,1963
Blackpool Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2018,1804
Blackpool Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2019,1385
Blackpool Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2020,598
Blackpool Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2021,1750
Blackpool Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2022,2677
Blackpool Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2023,2358
Blackpool Borough Council,Total local authority collected waste (tonnes),2014,71460
Blackpool Borough Council,Total local authority collected waste (tonnes),2015,72485
Blackpool Borough Council,Total local authority collected waste (tonnes),2016,71620
Blackpool Borough Council,Total local authority collected waste (tonnes),2017,70993
Blackpool Borough Council,Total local authority collected waste (tonnes),2018,70108
Blackpool Borough Council,Total local authority collected waste (tonnes),2019,69933
Blackpool Borough Council,Total local authority collected waste (tonnes),2020,71721
Blackpool Borough Council,Total local authority collected waste (tonnes),2021,71794
Blackpool Borough Council,Total local authority collected waste (tonnes),2022,69480
Blackpool Borough Council,Total local authority collected waste (tonnes),2023,69334
Burnley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2014,0
Burnley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2015,0
Burnley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2016,0
Burnley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2017,0
Burnley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2018,0
Burnley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2019,0
Burnley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2020,0
Burnley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2021,0
Burnley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2022,0
Burnley Borough Council,Household - civic amenity sites (not recycled) (tonnes),2023,0
Burnley Borough Council,Household - estimated rejects (tonnes),2014,0
Burnley Borough Council,Household - estimated rejects (tonnes),2015,82
Burnley Borough Council,Household - estimated rejects (tonnes),2016,22
Burnley Borough Council,Household - estimated rejects (tonnes),2017,-1
Burnley Borough Council,Household - estimated rejects (tonnes),2018,24
Burnley Borough Council,Household - estimated rejects (tonnes),2019,114
Burnley Borough Council,Household - estimated rejects (tonnes),2020,145
Burnley Borough Council,Household - estimated rejects (tonnes),2021,272
Burnley Borough Council,Household - estimated rejects (tonnes),2022,137
Burnley Borough Council,Household - estimated rejects (tonnes),2023,216
Burnley Borough Council,Household - other sources (not recycled) (tonnes),2014,2187
Burnley Borough Council,Household - other sources (not recycled) (tonnes),2015,2641
Burnley Borough Council,Household - other sources (not recycled) (tonnes),2016,2290
Burnley Borough Council,Household - other sources (not recycled) (tonnes),2017,2308
Burnley Borough Council,Household - other sources (not recycled) (tonnes),2018,2357
