Local Authority,Attribute,Financial Year,Sum of Value
Lancaster City Council,Household - total waste (tonnes),2014,49530
Lancaster City Council,Household - total waste (tonnes),2015,50015
Lancaster City Council,Household - total waste (tonnes),2016,49868
Lancaster City Council,Household - total waste (tonnes),2017,48018
Lancaster City Council,Household - total waste (tonnes),2018,45761
Lancaster City Council,Household - total waste (tonnes),2019,47458
Lancaster City Council,Household - total waste (tonnes),2020,52341
Lancaster City Council,Household - total waste (tonnes),2021,51387
Lancaster City Council,Household - total waste (tonnes),2022,50757
Lancaster City Council,Household - total waste (tonnes),2023,49638
Lancaster City Council,Household - waste not sent for recycling (tonnes),2014,28276
Lancaster City Council,Household - waste not sent for recycling (tonnes),2015,27745
Lancaster City Council,Household - waste not sent for recycling (tonnes),2016,30481
Lancaster City Council,Household - waste not sent for recycling (tonnes),2017,30904
Lancaster City Council,Household - waste not sent for recycling (tonnes),2018,29287
Lancaster City Council,Household - waste not sent for recycling (tonnes),2019,30151
Lancaster City Council,Household - waste not sent for recycling (tonnes),2020,32338
Lancaster City Council,Household - waste not sent for recycling (tonnes),2021,31606
Lancaster City Council,Household - waste not sent for recycling (tonnes),2022,32387
Lancaster City Council,Household - waste not sent for recycling (tonnes),2023,31461
Lancaster City Council,Household - waste sent for recycling-composting-reuse (tonnes),2014,21254
Lancaster City Council,Household - waste sent for recycling-composting-reuse (tonnes),2015,22270
Lancaster City Council,Household - waste sent for recycling-composting-reuse (tonnes),2016,19387
Lancaster City Council,Household - waste sent for recycling-composting-reuse (tonnes),2017,17115
Lancaster City Council,Household - waste sent for recycling-composting-reuse (tonnes),2018,16474
Lancaster City Council,Household - waste sent for recycling-composting-reuse (tonnes),2019,17308
Lancaster City Council,Household - waste sent for recycling-composting-reuse (tonnes),2020,20003
Lancaster City Council,Household - waste sent for recycling-composting-reuse (tonnes),2021,19781
Lancaster City Council,Household - waste sent for recycling-composting-reuse (tonnes),2022,18369
Lancaster City Council,Household - waste sent for recycling-composting-reuse (tonnes),2023,18177
Lancaster City Council,Household dry recycling-reuse (tonnes),2014,10774
Lancaster City Council,Household dry recycling-reuse (tonnes),2015,10853
Lancaster City Council,Household dry recycling-reuse (tonnes),2016,9790
Lancaster City Council,Household dry recycling-reuse (tonnes),2017,9335
Lancaster City Council,Household dry recycling-reuse (tonnes),2018,9398
Lancaster City Council,Household dry recycling-reuse (tonnes),2019,9917
Lancaster City Council,Household dry recycling-reuse (tonnes),2020,11629
Lancaster City Council,Household dry recycling-reuse (tonnes),2021,11636
Lancaster City Council,Household dry recycling-reuse (tonnes),2022,10424
Lancaster City Council,Household dry recycling-reuse (tonnes),2023,10300
Lancaster City Council,Household green recycling-reuse (tonnes),2014,10480
Lancaster City Council,Household green recycling-reuse (tonnes),2015,11417
Lancaster City Council,Household green recycling-reuse (tonnes),2016,9597
Lancaster City Council,Household green recycling-reuse (tonnes),2017,7779
Lancaster City Council,Household green recycling-reuse (tonnes),2018,7076
Lancaster City Council,Household green recycling-reuse (tonnes),2019,7391
Lancaster City Council,Household green recycling-reuse (tonnes),2020,8374
Lancaster City Council,Household green recycling-reuse (tonnes),2021,8145
Lancaster City Council,Household green recycling-reuse (tonnes),2022,7945
Lancaster City Council,Household green recycling-reuse (tonnes),2023,7877
Lancaster City Council,Local authority collected - estimated rejects (tonnes),2014,248
Lancaster City Council,Local authority collected - estimated rejects (tonnes),2015,391
Lancaster City Council,Local authority collected - estimated rejects (tonnes),2016,-34
Lancaster City Council,Local authority collected - estimated rejects (tonnes),2017,398
Lancaster City Council,Local authority collected - estimated rejects (tonnes),2018,630
Lancaster City Council,Local authority collected - estimated rejects (tonnes),2019,476
Lancaster City Council,Local authority collected - estimated rejects (tonnes),2020,575
Lancaster City Council,Local authority collected - estimated rejects (tonnes),2021,566
Lancaster City Council,Local authority collected - estimated rejects (tonnes),2022,256
Lancaster City Council,Local authority collected - estimated rejects (tonnes),2023,612
Lancaster City Council,Local authority collected waste - not sent for recycling (tonnes),2014,32662
Lancaster City Council,Local authority collected waste - not sent for recycling (tonnes),2015,31686
Lancaster City Council,Local authority collected waste - not sent for recycling (tonnes),2016,34361
Lancaster City Council,Local authority collected waste - not sent for recycling (tonnes),2017,34968
Lancaster City Council,Local authority collected waste - not sent for recycling (tonnes),2018,32931
Lancaster City Council,Local authority collected waste - not sent for recycling (tonnes),2019,33104
Lancaster City Council,Local authority collected waste - not sent for recycling (tonnes),2020,35461
Lancaster City Council,Local authority collected waste - not sent for recycling (tonnes),2021,34674
Lancaster City Council,Local authority collected waste - not sent for recycling (tonnes),2022,35011
Lancaster City Council,Local authority collected waste - not sent for recycling (tonnes),2023,33993
Lancaster City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2014,21682
Lancaster City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2015,23426
Lancaster City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2016,20831
Lancaster City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2017,18142
Lancaster City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2018,17863
Lancaster City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2019,19459
Lancaster City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2020,21174
Lancaster City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2021,21263
Lancaster City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2022,18844
Lancaster City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2023,19759
Lancaster City Council,Non-household - estimated rejects (tonnes),2014,0
Lancaster City Council,Non-household - estimated rejects (tonnes),2015,0
Lancaster City Council,Non-household - estimated rejects (tonnes),2016,0
Lancaster City Council,Non-household - estimated rejects (tonnes),2017,0
Lancaster City Council,Non-household - estimated rejects (tonnes),2018,0
Lancaster City Council,Non-household - estimated rejects (tonnes),2019,0
Lancaster City Council,Non-household - estimated rejects (tonnes),2020,0
Lancaster City Council,Non-household - estimated rejects (tonnes),2021,0
Lancaster City Council,Non-household - estimated rejects (tonnes),2022,0
Lancaster City Council,Non-household - estimated rejects (tonnes),2023,0
Lancaster City Council,Non-household - total waste (tonnes),2014,4814
Lancaster City Council,Non-household - total waste (tonnes),2015,5097
Lancaster City Council,Non-household - total waste (tonnes),2016,5324
Lancaster City Council,Non-household - total waste (tonnes),2017,5092
Lancaster City Council,Non-household - total waste (tonnes),2018,5033
Lancaster City Council,Non-household - total waste (tonnes),2019,5104
Lancaster City Council,Non-household - total waste (tonnes),2020,4294
Lancaster City Council,Non-household - total waste (tonnes),2021,4550
Lancaster City Council,Non-household - total waste (tonnes),2022,3098
Lancaster City Council,Non-household - total waste (tonnes),2023,4114
Lancaster City Council,Non-household - waste not sent for recycling (tonnes),2014,4386
Lancaster City Council,Non-household - waste not sent for recycling (tonnes),2015,3942
Lancaster City Council,Non-household - waste not sent for recycling (tonnes),2016,3881
Lancaster City Council,Non-household - waste not sent for recycling (tonnes),2017,4065
Lancaster City Council,Non-household - waste not sent for recycling (tonnes),2018,3644
Lancaster City Council,Non-household - waste not sent for recycling (tonnes),2019,2953
Lancaster City Council,Non-household - waste not sent for recycling (tonnes),2020,3123
Lancaster City Council,Non-household - waste not sent for recycling (tonnes),2021,3068
Lancaster City Council,Non-household - waste not sent for recycling (tonnes),2022,2624
Lancaster City Council,Non-household - waste not sent for recycling (tonnes),2023,2532
Lancaster City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2014,428
Lancaster City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2015,1156
Lancaster City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2016,1443
Lancaster City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2017,1027
Lancaster City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2018,1389
Lancaster City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2019,2151
Lancaster City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2020,1172
Lancaster City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2021,1482
Lancaster City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2022,474
Lancaster City Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2023,1582
Lancaster City Council,Total local authority collected waste (tonnes),2014,54344
Lancaster City Council,Total local authority collected waste (tonnes),2015,55112
Lancaster City Council,Total local authority collected waste (tonnes),2016,55192
Lancaster City Council,Total local authority collected waste (tonnes),2017,53110
Lancaster City Council,Total local authority collected waste (tonnes),2018,50794
Lancaster City Council,Total local authority collected waste (tonnes),2019,52562
Lancaster City Council,Total local authority collected waste (tonnes),2020,56636
Lancaster City Council,Total local authority collected waste (tonnes),2021,55937
Lancaster City Council,Total local authority collected waste (tonnes),2022,53855
Lancaster City Council,Total local authority collected waste (tonnes),2023,53752
Pendle Borough Council,Household - civic amenity sites (not recycled) (tonnes),2014,0
Pendle Borough Council,Household - civic amenity sites (not recycled) (tonnes),2015,0
Pendle Borough Council,Household - civic amenity sites (not recycled) (tonnes),2016,0
Pendle Borough Council,Household - civic amenity sites (not recycled) (tonnes),2017,0
Pendle Borough Council,Household - civic amenity sites (not recycled) (tonnes),2018,0
Pendle Borough Council,Household - civic amenity sites (not recycled) (tonnes),2019,0
Pendle Borough Council,Household - civic amenity sites (not recycled) (tonnes),2020,0
Pendle Borough Council,Household - civic amenity sites (not recycled) (tonnes),2021,0
Pendle Borough Council,Household - civic amenity sites (not recycled) (tonnes),2022,0
Pendle Borough Council,Household - civic amenity sites (not recycled) (tonnes),2023,0
Pendle Borough Council,Household - estimated rejects (tonnes),2014,164
Pendle Borough Council,Household - estimated rejects (tonnes),2015,518
Pendle Borough Council,Household - estimated rejects (tonnes),2016,525
Pendle Borough Council,Household - estimated rejects (tonnes),2017,899
Pendle Borough Council,Household - estimated rejects (tonnes),2018,813
Pendle Borough Council,Household - estimated rejects (tonnes),2019,656
Pendle Borough Council,Household - estimated rejects (tonnes),2020,937
Pendle Borough Council,Household - estimated rejects (tonnes),2021,751
Pendle Borough Council,Household - estimated rejects (tonnes),2022,826
Pendle Borough Council,Household - estimated rejects (tonnes),2023,793
Pendle Borough Council,Household - other sources (not recycled) (tonnes),2014,3387
Pendle Borough Council,Household - other sources (not recycled) (tonnes),2015,4377
Pendle Borough Council,Household - other sources (not recycled) (tonnes),2016,4098
Pendle Borough Council,Household - other sources (not recycled) (tonnes),2017,3620
Pendle Borough Council,Household - other sources (not recycled) (tonnes),2018,3687
Pendle Borough Council,Household - other sources (not recycled) (tonnes),2019,3865
Pendle Borough Council,Household - other sources (not recycled) (tonnes),2020,4030
Pendle Borough Council,Household - other sources (not recycled) (tonnes),2021,3889
Pendle Borough Council,Household - other sources (not recycled) (tonnes),2022,3565
Pendle Borough Council,Household - other sources (not recycled) (tonnes),2023,3698
Pendle Borough Council,Household - regular collection (not recycled) (tonnes),2014,17619
Pendle Borough Council,Household - regular collection (not recycled) (tonnes),2015,16802
Pendle Borough Council,Household - regular collection (not recycled) (tonnes),2016,17754
Pendle Borough Council,Household - regular collection (not recycled) (tonnes),2017,17812
Pendle Borough Council,Household - regular collection (not recycled) (tonnes),2018,17814
Pendle Borough Council,Household - regular collection (not recycled) (tonnes),2019,17692
Pendle Borough Council,Household - regular collection (not recycled) (tonnes),2020,19649
Pendle Borough Council,Household - regular collection (not recycled) (tonnes),2021,19615
Pendle Borough Council,Household - regular collection (not recycled) (tonnes),2022,18882
Pendle Borough Council,Household - regular collection (not recycled) (tonnes),2023,19123
Pendle Borough Council,Household - total waste (tonnes),2014,32186
Pendle Borough Council,Household - total waste (tonnes),2015,34158
Pendle Borough Council,Household - total waste (tonnes),2016,33940
Pendle Borough Council,Household - total waste (tonnes),2017,32777
Pendle Borough Council,Household - total waste (tonnes),2018,32478
Pendle Borough Council,Household - total waste (tonnes),2019,32897
Pendle Borough Council,Household - total waste (tonnes),2020,36444
Pendle Borough Council,Household - total waste (tonnes),2021,35145
Pendle Borough Council,Household - total waste (tonnes),2022,33059
Pendle Borough Council,Household - total waste (tonnes),2023,33553
Pendle Borough Council,Household - waste not sent for recycling (tonnes),2014,21171
Pendle Borough Council,Household - waste not sent for recycling (tonnes),2015,21698
Pendle Borough Council,Household - waste not sent for recycling (tonnes),2016,22377
Pendle Borough Council,Household - waste not sent for recycling (tonnes),2017,22332
Pendle Borough Council,Household - waste not sent for recycling (tonnes),2018,22315
Pendle Borough Council,Household - waste not sent for recycling (tonnes),2019,22212
Pendle Borough Council,Household - waste not sent for recycling (tonnes),2020,24616
Pendle Borough Council,Household - waste not sent for recycling (tonnes),2021,24256
Pendle Borough Council,Household - waste not sent for recycling (tonnes),2022,23273
Pendle Borough Council,Household - waste not sent for recycling (tonnes),2023,23614
Pendle Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2014,11016
Pendle Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2015,12460
Pendle Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2016,11563
Pendle Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2017,10446
Pendle Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2018,10164
Pendle Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2019,10685
Pendle Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2020,11828
Pendle Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2021,10889
Pendle Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2022,9785
Pendle Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2023,9939
Pendle Borough Council,Household dry recycling-reuse (tonnes),2014,7837
Pendle Borough Council,Household dry recycling-reuse (tonnes),2015,8418
Pendle Borough Council,Household dry recycling-reuse (tonnes),2016,7907
Pendle Borough Council,Household dry recycling-reuse (tonnes),2017,6977
Pendle Borough Council,Household dry recycling-reuse (tonnes),2018,6424
Pendle Borough Council,Household dry recycling-reuse (tonnes),2019,6861
Pendle Borough Council,Household dry recycling-reuse (tonnes),2020,7736
Pendle Borough Council,Household dry recycling-reuse (tonnes),2021,7374
Pendle Borough Council,Household dry recycling-reuse (tonnes),2022,6622
Pendle Borough Council,Household dry recycling-reuse (tonnes),2023,6311
Pendle Borough Council,Household green recycling-reuse (tonnes),2014,3179
Pendle Borough Council,Household green recycling-reuse (tonnes),2015,4042
Pendle Borough Council,Household green recycling-reuse (tonnes),2016,3656
Pendle Borough Council,Household green recycling-reuse (tonnes),2017,3469
Pendle Borough Council,Household green recycling-reuse (tonnes),2018,3740
Pendle Borough Council,Household green recycling-reuse (tonnes),2019,3824
Pendle Borough Council,Household green recycling-reuse (tonnes),2020,4092
Pendle Borough Council,Household green recycling-reuse (tonnes),2021,3516
Pendle Borough Council,Household green recycling-reuse (tonnes),2022,3164
Pendle Borough Council,Household green recycling-reuse (tonnes),2023,3629
Pendle Borough Council,Local authority collected - estimated rejects (tonnes),2014,164
Pendle Borough Council,Local authority collected - estimated rejects (tonnes),2015,518
Pendle Borough Council,Local authority collected - estimated rejects (tonnes),2016,525
Pendle Borough Council,Local authority collected - estimated rejects (tonnes),2017,899
Pendle Borough Council,Local authority collected - estimated rejects (tonnes),2018,813
Pendle Borough Council,Local authority collected - estimated rejects (tonnes),2019,656
Pendle Borough Council,Local authority collected - estimated rejects (tonnes),2020,937
Pendle Borough Council,Local authority collected - estimated rejects (tonnes),2021,751
Pendle Borough Council,Local authority collected - estimated rejects (tonnes),2022,826
Pendle Borough Council,Local authority collected - estimated rejects (tonnes),2023,793
Pendle Borough Council,Local authority collected waste - not sent for recycling (tonnes),2014,23687
Pendle Borough Council,Local authority collected waste - not sent for recycling (tonnes),2015,24459
Pendle Borough Council,Local authority collected waste - not sent for recycling (tonnes),2016,25401
Pendle Borough Council,Local authority collected waste - not sent for recycling (tonnes),2017,25711
Pendle Borough Council,Local authority collected waste - not sent for recycling (tonnes),2018,25325
Pendle Borough Council,Local authority collected waste - not sent for recycling (tonnes),2019,25504
Pendle Borough Council,Local authority collected waste - not sent for recycling (tonnes),2020,27805
Pendle Borough Council,Local authority collected waste - not sent for recycling (tonnes),2021,27850
Pendle Borough Council,Local authority collected waste - not sent for recycling (tonnes),2022,26585
Pendle Borough Council,Local authority collected waste - not sent for recycling (tonnes),2023,27036
Pendle Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2014,11173
Pendle Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2015,12770
Pendle Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2016,11837
Pendle Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2017,10783
Pendle Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2018,10680
Pendle Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2019,11221
Pendle Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2020,12273
Pendle Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2021,11534
Pendle Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2022,10436
Pendle Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2023,10640
Pendle Borough Council,Non-household - estimated rejects (tonnes),2014,0
Pendle Borough Council,Non-household - estimated rejects (tonnes),2015,0
Pendle Borough Council,Non-household - estimated rejects (tonnes),2016,0
Pendle Borough Council,Non-household - estimated rejects (tonnes),2017,0
Pendle Borough Council,Non-household - estimated rejects (tonnes),2018,0
Pendle Borough Council,Non-household - estimated rejects (tonnes),2019,0
Pendle Borough Council,Non-household - estimated rejects (tonnes),2020,0
Pendle Borough Council,Non-household - estimated rejects (tonnes),2021,0
Pendle Borough Council,Non-household - estimated rejects (tonnes),2022,0
Pendle Borough Council,Non-household - estimated rejects (tonnes),2023,0
Pendle Borough Council,Non-household - total waste (tonnes),2014,2673
Pendle Borough Council,Non-household - total waste (tonnes),2015,3071
Pendle Borough Council,Non-household - total waste (tonnes),2016,3299
Pendle Borough Council,Non-household - total waste (tonnes),2017,3717
Pendle Borough Council,Non-household - total waste (tonnes),2018,3527
Pendle Borough Council,Non-household - total waste (tonnes),2019,3828
Pendle Borough Council,Non-household - total waste (tonnes),2020,3634
Pendle Borough Council,Non-household - total waste (tonnes),2021,4239
Pendle Borough Council,Non-household - total waste (tonnes),2022,3963
Pendle Borough Council,Non-household - total waste (tonnes),2023,4123
Pendle Borough Council,Non-household - waste not sent for recycling (tonnes),2014,2516
Pendle Borough Council,Non-household - waste not sent for recycling (tonnes),2015,2761
Pendle Borough Council,Non-household - waste not sent for recycling (tonnes),2016,3024
Pendle Borough Council,Non-household - waste not sent for recycling (tonnes),2017,3380
Pendle Borough Council,Non-household - waste not sent for recycling (tonnes),2018,3010
Pendle Borough Council,Non-household - waste not sent for recycling (tonnes),2019,3292
Pendle Borough Council,Non-household - waste not sent for recycling (tonnes),2020,3189
Pendle Borough Council,Non-household - waste not sent for recycling (tonnes),2021,3595
Pendle Borough Council,Non-household - waste not sent for recycling (tonnes),2022,3312
Pendle Borough Council,Non-household - waste not sent for recycling (tonnes),2023,3422
Pendle Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2014,157
Pendle Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2015,309
Pendle Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2016,275
Pendle Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2017,337
Pendle Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2018,517
Pendle Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2019,536
Pendle Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2020,445
Pendle Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2021,644
Pendle Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2022,651
Pendle Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2023,701
Pendle Borough Council,Total local authority collected waste (tonnes),2014,34859
Pendle Borough Council,Total local authority collected waste (tonnes),2015,37228
Pendle Borough Council,Total local authority collected waste (tonnes),2016,37239
Pendle Borough Council,Total local authority collected waste (tonnes),2017,36494
Pendle Borough Council,Total local authority collected waste (tonnes),2018,36005
Pendle Borough Council,Total local authority collected waste (tonnes),2019,36725
Pendle Borough Council,Total local authority collected waste (tonnes),2020,40078
Pendle Borough Council,Total local authority collected waste (tonnes),2021,39384
Pendle Borough Council,Total local authority collected waste (tonnes),2022,37021
Pendle Borough Council,Total local authority collected waste (tonnes),2023,37676
Preston City Council,Household - civic amenity sites (not recycled) (tonnes),2014,0
Preston City Council,Household - civic amenity sites (not recycled) (tonnes),2015,0
Preston City Council,Household - civic amenity sites (not recycled) (tonnes),2016,0
Preston City Council,Household - civic amenity sites (not recycled) (tonnes),2017,0
Preston City Council,Household - civic amenity sites (not recycled) (tonnes),2018,0
Preston City Council,Household - civic amenity sites (not recycled) (tonnes),2019,0
Preston City Council,Household - civic amenity sites (not recycled) (tonnes),2020,0
Preston City Council,Household - civic amenity sites (not recycled) (tonnes),2021,0
Preston City Council,Household - civic amenity sites (not recycled) (tonnes),2022,0
Preston City Council,Household - civic amenity sites (not recycled) (tonnes),2023,0
Preston City Council,Household - estimated rejects (tonnes),2014,-213
Preston City Council,Household - estimated rejects (tonnes),2015,-437
Preston City Council,Household - estimated rejects (tonnes),2016,528
Preston City Council,Household - estimated rejects (tonnes),2017,809
Preston City Council,Household - estimated rejects (tonnes),2018,537
Preston City Council,Household - estimated rejects (tonnes),2019,1051
Preston City Council,Household - estimated rejects (tonnes),2020,534
Preston City Council,Household - estimated rejects (tonnes),2021,505
Preston City Council,Household - estimated rejects (tonnes),2022,75
Preston City Council,Household - estimated rejects (tonnes),2023,773
Preston City Council,Household - other sources (not recycled) (tonnes),2014,3831
Preston City Council,Household - other sources (not recycled) (tonnes),2015,6396
Preston City Council,Household - other sources (not recycled) (tonnes),2016,8465
Preston City Council,Household - other sources (not recycled) (tonnes),2017,6262
Preston City Council,Household - other sources (not recycled) (tonnes),2018,6442
Preston City Council,Household - other sources (not recycled) (tonnes),2019,5875
Preston City Council,Household - other sources (not recycled) (tonnes),2020,6692
Preston City Council,Household - other sources (not recycled) (tonnes),2021,5948
Preston City Council,Household - other sources (not recycled) (tonnes),2022,5847
Preston City Council,Household - other sources (not recycled) (tonnes),2023,5312
Preston City Council,Household - regular collection (not recycled) (tonnes),2014,26915
Preston City Council,Household - regular collection (not recycled) (tonnes),2015,27020
Preston City Council,Household - regular collection (not recycled) (tonnes),2016,27995
Preston City Council,Household - regular collection (not recycled) (tonnes),2017,28836
Preston City Council,Household - regular collection (not recycled) (tonnes),2018,28019
Preston City Council,Household - regular collection (not recycled) (tonnes),2019,28483
Preston City Council,Household - regular collection (not recycled) (tonnes),2020,31984
Preston City Council,Household - regular collection (not recycled) (tonnes),2021,30561
Preston City Council,Household - regular collection (not recycled) (tonnes),2022,30268
Preston City Council,Household - regular collection (not recycled) (tonnes),2023,31240
Preston City Council,Household - total waste (tonnes),2014,50535
Preston City Council,Household - total waste (tonnes),2015,53281
Preston City Council,Household - total waste (tonnes),2016,53897
Preston City Council,Household - total waste (tonnes),2017,51186
Preston City Council,Household - total waste (tonnes),2018,51093
Preston City Council,Household - total waste (tonnes),2019,51465
Preston City Council,Household - total waste (tonnes),2020,57615
Preston City Council,Household - total waste (tonnes),2021,54681
Preston City Council,Household - total waste (tonnes),2022,52208
Preston City Council,Household - total waste (tonnes),2023,52053
Preston City Council,Household - waste not sent for recycling (tonnes),2014,30533
Preston City Council,Household - waste not sent for recycling (tonnes),2015,32978
Preston City Council,Household - waste not sent for recycling (tonnes),2016,36988
Preston City Council,Household - waste not sent for recycling (tonnes),2017,35907
Preston City Council,Household - waste not sent for recycling (tonnes),2018,34998
Preston City Council,Household - waste not sent for recycling (tonnes),2019,35409
Preston City Council,Household - waste not sent for recycling (tonnes),2020,39211
Preston City Council,Household - waste not sent for recycling (tonnes),2021,37014
Preston City Council,Household - waste not sent for recycling (tonnes),2022,36190
Preston City Council,Household - waste not sent for recycling (tonnes),2023,37325
Preston City Council,Household - waste sent for recycling-composting-reuse (tonnes),2014,20002
Preston City Council,Household - waste sent for recycling-composting-reuse (tonnes),2015,20303
Preston City Council,Household - waste sent for recycling-composting-reuse (tonnes),2016,16909
Preston City Council,Household - waste sent for recycling-composting-reuse (tonnes),2017,15279
Preston City Council,Household - waste sent for recycling-composting-reuse (tonnes),2018,16095
Preston City Council,Household - waste sent for recycling-composting-reuse (tonnes),2019,16056
Preston City Council,Household - waste sent for recycling-composting-reuse (tonnes),2020,18404
Preston City Council,Household - waste sent for recycling-composting-reuse (tonnes),2021,17667
Preston City Council,Household - waste sent for recycling-composting-reuse (tonnes),2022,16018
Preston City Council,Household - waste sent for recycling-composting-reuse (tonnes),2023,14727
Preston City Council,Household dry recycling-reuse (tonnes),2014,11676
Preston City Council,Household dry recycling-reuse (tonnes),2015,12285
Preston City Council,Household dry recycling-reuse (tonnes),2016,10324
Preston City Council,Household dry recycling-reuse (tonnes),2017,9708
Preston City Council,Household dry recycling-reuse (tonnes),2018,10566
Preston City Council,Household dry recycling-reuse (tonnes),2019,10511
Preston City Council,Household dry recycling-reuse (tonnes),2020,12104
Preston City Council,Household dry recycling-reuse (tonnes),2021,12036
Preston City Council,Household dry recycling-reuse (tonnes),2022,10615
Preston City Council,Household dry recycling-reuse (tonnes),2023,9224
Preston City Council,Household green recycling-reuse (tonnes),2014,8326
Preston City Council,Household green recycling-reuse (tonnes),2015,8017
Preston City Council,Household green recycling-reuse (tonnes),2016,6585
Preston City Council,Household green recycling-reuse (tonnes),2017,5570
Preston City Council,Household green recycling-reuse (tonnes),2018,5528
Preston City Council,Household green recycling-reuse (tonnes),2019,5545
Preston City Council,Household green recycling-reuse (tonnes),2020,6300
Preston City Council,Household green recycling-reuse (tonnes),2021,5631
Preston City Council,Household green recycling-reuse (tonnes),2022,5402
Preston City Council,Household green recycling-reuse (tonnes),2023,5503
Preston City Council,Local authority collected - estimated rejects (tonnes),2014,-213
Preston City Council,Local authority collected - estimated rejects (tonnes),2015,-437
Preston City Council,Local authority collected - estimated rejects (tonnes),2016,528
Preston City Council,Local authority collected - estimated rejects (tonnes),2017,809
Preston City Council,Local authority collected - estimated rejects (tonnes),2018,537
Preston City Council,Local authority collected - estimated rejects (tonnes),2019,1051
Preston City Council,Local authority collected - estimated rejects (tonnes),2020,534
Preston City Council,Local authority collected - estimated rejects (tonnes),2021,505
Preston City Council,Local authority collected - estimated rejects (tonnes),2022,75
Preston City Council,Local authority collected - estimated rejects (tonnes),2023,773
Preston City Council,Local authority collected waste - not sent for recycling (tonnes),2014,36107
Preston City Council,Local authority collected waste - not sent for recycling (tonnes),2015,39682
Preston City Council,Local authority collected waste - not sent for recycling (tonnes),2016,43131
Preston City Council,Local authority collected waste - not sent for recycling (tonnes),2017,41133
Preston City Council,Local authority collected waste - not sent for recycling (tonnes),2018,39413
Preston City Council,Local authority collected waste - not sent for recycling (tonnes),2019,38766
Preston City Council,Local authority collected waste - not sent for recycling (tonnes),2020,42307
Preston City Council,Local authority collected waste - not sent for recycling (tonnes),2021,40341
Preston City Council,Local authority collected waste - not sent for recycling (tonnes),2022,39889
Preston City Council,Local authority collected waste - not sent for recycling (tonnes),2023,41226
Preston City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2014,20556
Preston City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2015,20880
Preston City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2016,18125
Preston City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2017,16332
Preston City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2018,17217
Preston City Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2019,17037
