Local Authority,Sex,Statistics,Time period,Indicator Name,Age,Sum of Value
Blackpool,Persons,Count,2016,Smoking: QOF prevalence,15+ yrs,38759
Blackpool,Persons,Count,2016,"Violent crime - sexual offences per 1,000 population",All ages,484
Blackpool,Persons,Count,2016,"Violent crime - violence offences per 1,000 population",All ages,5141
Blackpool,Persons,Count,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,420
Blackpool,Persons,Count,2017,Mental Health: QOF prevalence,All ages,2689
Blackpool,Persons,Count,2017,Reoffending levels: percentage of offenders who reoffend,All ages,733
Blackpool,Persons,Count,2017,Smoking: QOF prevalence,15+ yrs,38464
Blackpool,Persons,Count,2017,"Violent crime - sexual offences per 1,000 population",All ages,641
Blackpool,Persons,Count,2017,"Violent crime - violence offences per 1,000 population",All ages,5885
Blackpool,Persons,Count,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,360
Blackpool,Persons,Count,2018,Mental Health: QOF prevalence,All ages,2733
Blackpool,Persons,Count,2018,Reoffending levels: percentage of offenders who reoffend,All ages,723
Blackpool,Persons,Count,2018,Smoking: QOF prevalence,15+ yrs,37805
Blackpool,Persons,Count,2018,"Violent crime - sexual offences per 1,000 population",All ages,720
Blackpool,Persons,Count,2018,"Violent crime - violence offences per 1,000 population",All ages,8008
Blackpool,Persons,Count,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,285
Blackpool,Persons,Count,2019,Mental Health: QOF prevalence,All ages,2787
Blackpool,Persons,Count,2019,Reoffending levels: percentage of offenders who reoffend,All ages,631
Blackpool,Persons,Count,2019,Smoking: QOF prevalence,15+ yrs,37273
Blackpool,Persons,Count,2019,"Violent crime - sexual offences per 1,000 population",All ages,813
Blackpool,Persons,Count,2019,"Violent crime - violence offences per 1,000 population",All ages,11460
Blackpool,Persons,Count,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,245
Blackpool,Persons,Count,2020,Mental Health: QOF prevalence,All ages,2621
Blackpool,Persons,Count,2020,Reoffending levels: percentage of offenders who reoffend,All ages,482
Blackpool,Persons,Count,2020,Smoking: QOF prevalence,15+ yrs,36926
Blackpool,Persons,Count,2020,"Violent crime - sexual offences per 1,000 population",All ages,695
Blackpool,Persons,Count,2020,"Violent crime - violence offences per 1,000 population",All ages,9631
Blackpool,Persons,Count,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,250
Blackpool,Persons,Count,2021,Mental Health: QOF prevalence,All ages,2710
Blackpool,Persons,Count,2021,Reoffending levels: percentage of offenders who reoffend,All ages,430
Blackpool,Persons,Count,2021,Smoking: QOF prevalence,15+ yrs,36200
Blackpool,Persons,Count,2021,"Violent crime - sexual offences per 1,000 population",All ages,614
Blackpool,Persons,Count,2021,"Violent crime - violence offences per 1,000 population",All ages,8537
Blackpool,Persons,Count,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,240
Blackpool,Persons,Count,2022,Mental Health: QOF prevalence,All ages,2794
Blackpool,Persons,Count,2022,Reoffending levels: percentage of offenders who reoffend,All ages,539
Blackpool,Persons,Count,2022,Smoking: QOF prevalence,15+ yrs,35419
Blackpool,Persons,Count,2022,"Violent crime - sexual offences per 1,000 population",All ages,870
Blackpool,Persons,Count,2022,"Violent crime - violence offences per 1,000 population",All ages,10757
Blackpool,Persons,Count,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,250
Blackpool,Persons,Count,2023,Mental Health: QOF prevalence,All ages,3001
Blackpool,Persons,Count,2023,Reoffending levels: percentage of offenders who reoffend,All ages,593
Blackpool,Persons,Count,2023,Smoking: QOF prevalence,15+ yrs,34286
Blackpool,Persons,Count,2023,"Violent crime - sexual offences per 1,000 population",All ages,859
Blackpool,Persons,Count,2023,"Violent crime - violence offences per 1,000 population",All ages,9876
Blackpool,Persons,Count,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,225
Blackpool,Persons,Count,2024,Mental Health: QOF prevalence,All ages,2871
Blackpool,Persons,Count,2024,Reoffending levels: percentage of offenders who reoffend,All ages,619
Blackpool,Persons,Count,2024,Smoking: QOF prevalence,15+ yrs,33117
Blackpool,Persons,Count,2024,"Violent crime - sexual offences per 1,000 population",All ages,790
Blackpool,Persons,Count,2024,"Violent crime - violence offences per 1,000 population",All ages,9835
Blackpool,Persons,Count,2025,Mental Health: QOF prevalence,All ages,3052
Blackpool,Persons,Count,2025,Smoking: QOF prevalence,15+ yrs,31532
Blackpool,Persons,Count,2025,"Violent crime - sexual offences per 1,000 population",All ages,915
Blackpool,Persons,Count,2025,"Violent crime - violence offences per 1,000 population",All ages,9722
Blackpool,Persons,Denominator,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,427411
Blackpool,Persons,Denominator,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,427398
Blackpool,Persons,Denominator,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,427378
Blackpool,Persons,Denominator,2013,Mental Health: QOF prevalence,All ages,172782
Blackpool,Persons,Denominator,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,427551
Blackpool,Persons,Denominator,2014,Mental Health: QOF prevalence,All ages,172202
Blackpool,Persons,Denominator,2014,Smoking: QOF prevalence,15+ yrs,141603
Blackpool,Persons,Denominator,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,426774
Blackpool,Persons,Denominator,2015,Mental Health: QOF prevalence,All ages,171786
Blackpool,Persons,Denominator,2015,Smoking: QOF prevalence,15+ yrs,144886
Blackpool,Persons,Denominator,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,426037
Blackpool,Persons,Denominator,2016,Mental Health: QOF prevalence,All ages,171686
Blackpool,Persons,Denominator,2016,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,415
Blackpool,Persons,Denominator,2016,Smoking: QOF prevalence,15+ yrs,144671
Blackpool,Persons,Denominator,2016,"Violent crime - sexual offences per 1,000 population",All ages,142300
Blackpool,Persons,Denominator,2016,"Violent crime - violence offences per 1,000 population",All ages,142300
Blackpool,Persons,Denominator,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,425905
Blackpool,Persons,Denominator,2017,Mental Health: QOF prevalence,All ages,172699
Blackpool,Persons,Denominator,2017,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,409
Blackpool,Persons,Denominator,2017,Reoffending levels: percentage of offenders who reoffend,All ages,2338
Blackpool,Persons,Denominator,2017,Smoking: QOF prevalence,15+ yrs,145277
Blackpool,Persons,Denominator,2017,"Violent crime - sexual offences per 1,000 population",All ages,141800
Blackpool,Persons,Denominator,2017,"Violent crime - violence offences per 1,000 population",All ages,141800
Blackpool,Persons,Denominator,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,425997
Blackpool,Persons,Denominator,2018,Mental Health: QOF prevalence,All ages,177797
Blackpool,Persons,Denominator,2018,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,386
Blackpool,Persons,Denominator,2018,Reoffending levels: percentage of offenders who reoffend,All ages,2175
Blackpool,Persons,Denominator,2018,Smoking: QOF prevalence,15+ yrs,149501
Blackpool,Persons,Denominator,2018,"Violent crime - sexual offences per 1,000 population",All ages,142000
Blackpool,Persons,Denominator,2018,"Violent crime - violence offences per 1,000 population",All ages,142000
Blackpool,Persons,Denominator,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,426408
Blackpool,Persons,Denominator,2019,Mental Health: QOF prevalence,All ages,174194
Blackpool,Persons,Denominator,2019,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,431
Blackpool,Persons,Denominator,2019,Reoffending levels: percentage of offenders who reoffend,All ages,2076
Blackpool,Persons,Denominator,2019,Smoking: QOF prevalence,15+ yrs,146188
Blackpool,Persons,Denominator,2019,"Violent crime - sexual offences per 1,000 population",All ages,142100
Blackpool,Persons,Denominator,2019,"Violent crime - violence offences per 1,000 population",All ages,142100
Blackpool,Persons,Denominator,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,425847
Blackpool,Persons,Denominator,2020,Mental Health: QOF prevalence,All ages,174729
Blackpool,Persons,Denominator,2020,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,427
Blackpool,Persons,Denominator,2020,Reoffending levels: percentage of offenders who reoffend,All ages,1958
Blackpool,Persons,Denominator,2020,Smoking: QOF prevalence,15+ yrs,146866
Blackpool,Persons,Denominator,2020,"Violent crime - sexual offences per 1,000 population",All ages,141900
Blackpool,Persons,Denominator,2020,"Violent crime - violence offences per 1,000 population",All ages,141900
Blackpool,Persons,Denominator,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,424943
Blackpool,Persons,Denominator,2021,Mental Health: QOF prevalence,All ages,174970
Blackpool,Persons,Denominator,2021,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,404
Blackpool,Persons,Denominator,2021,Reoffending levels: percentage of offenders who reoffend,All ages,1550
Blackpool,Persons,Denominator,2021,Smoking: QOF prevalence,15+ yrs,147162
Blackpool,Persons,Denominator,2021,"Violent crime - sexual offences per 1,000 population",All ages,142400
Blackpool,Persons,Denominator,2021,"Violent crime - violence offences per 1,000 population",All ages,142400
Blackpool,Persons,Denominator,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,424216
Blackpool,Persons,Denominator,2022,Mental Health: QOF prevalence,All ages,176350
Blackpool,Persons,Denominator,2022,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,410
Blackpool,Persons,Denominator,2022,Reoffending levels: percentage of offenders who reoffend,All ages,1803
Blackpool,Persons,Denominator,2022,Smoking: QOF prevalence,15+ yrs,148379
Blackpool,Persons,Denominator,2022,"Violent crime - sexual offences per 1,000 population",All ages,141600
Blackpool,Persons,Denominator,2022,"Violent crime - violence offences per 1,000 population",All ages,141600
Blackpool,Persons,Denominator,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,425726
Blackpool,Persons,Denominator,2023,Mental Health: QOF prevalence,All ages,177381
Blackpool,Persons,Denominator,2023,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,394
Blackpool,Persons,Denominator,2023,Reoffending levels: percentage of offenders who reoffend,All ages,2024
Blackpool,Persons,Denominator,2023,Smoking: QOF prevalence,15+ yrs,149274
Blackpool,Persons,Denominator,2023,"Violent crime - sexual offences per 1,000 population",All ages,141000
Blackpool,Persons,Denominator,2023,"Violent crime - violence offences per 1,000 population",All ages,141000
Blackpool,Persons,Denominator,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,428941
Blackpool,Persons,Denominator,2024,Mental Health: QOF prevalence,All ages,178663
Blackpool,Persons,Denominator,2024,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,721
Blackpool,Persons,Denominator,2024,Reoffending levels: percentage of offenders who reoffend,All ages,1850
Blackpool,Persons,Denominator,2024,Smoking: QOF prevalence,15+ yrs,150680
Blackpool,Persons,Denominator,2024,"Violent crime - sexual offences per 1,000 population",All ages,141700
Blackpool,Persons,Denominator,2024,"Violent crime - violence offences per 1,000 population",All ages,141700
Blackpool,Persons,Denominator,2025,Mental Health: QOF prevalence,All ages,178784
Blackpool,Persons,Denominator,2025,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,699
Blackpool,Persons,Denominator,2025,Smoking: QOF prevalence,15+ yrs,151264
Blackpool,Persons,Denominator,2025,"Violent crime - sexual offences per 1,000 population",All ages,143100
Blackpool,Persons,Denominator,2025,"Violent crime - violence offences per 1,000 population",All ages,143100
Blackpool,Persons,Lower CI 95.0 limit,2010-2012,Violent crime - hospital admissions for violence (including sexual violence),All ages,134.05088
Blackpool,Persons,Lower CI 95.0 limit,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,131.3304
Blackpool,Persons,Lower CI 95.0 limit,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,129.69312
Blackpool,Persons,Lower CI 95.0 limit,2013,Mental Health: QOF prevalence,All ages,1.27412060005199
Blackpool,Persons,Lower CI 95.0 limit,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,124.87907
Blackpool,Persons,Lower CI 95.0 limit,2014,Mental Health: QOF prevalence,All ages,1.28625137291273
Blackpool,Persons,Lower CI 95.0 limit,2014,Smoking: QOF prevalence,15+ yrs,27.6809176515803
Blackpool,Persons,Lower CI 95.0 limit,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,118.41139
Blackpool,Persons,Lower CI 95.0 limit,2015,Mental Health: QOF prevalence,All ages,1.32953146740489
Blackpool,Persons,Lower CI 95.0 limit,2015,Smoking: QOF prevalence,15+ yrs,26.9198539210007
Blackpool,Persons,Lower CI 95.0 limit,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,109.59494
Blackpool,Persons,Lower CI 95.0 limit,2016,Mental Health: QOF prevalence,All ages,1.38563818324138
Blackpool,Persons,Lower CI 95.0 limit,2016,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,63.37349
Blackpool,Persons,Lower CI 95.0 limit,2016,Smoking: QOF prevalence,15+ yrs,26.5635414002717
Blackpool,Persons,Lower CI 95.0 limit,2016,"Violent crime - sexual offences per 1,000 population",All ages,3.10495
Blackpool,Persons,Lower CI 95.0 limit,2016,"Violent crime - violence offences per 1,000 population",All ages,35.147
Blackpool,Persons,Lower CI 95.0 limit,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,90.53045
Blackpool,Persons,Lower CI 95.0 limit,2017,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,242.6
Blackpool,Persons,Lower CI 95.0 limit,2017,Mental Health: QOF prevalence,All ages,1.49968580604828
Blackpool,Persons,Lower CI 95.0 limit,2017,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,58.19071
Blackpool,Persons,Lower CI 95.0 limit,2017,Smoking: QOF prevalence,15+ yrs,26.2500639675144
Blackpool,Persons,Lower CI 95.0 limit,2017,"Violent crime - sexual offences per 1,000 population",All ages,4.17723
Blackpool,Persons,Lower CI 95.0 limit,2017,"Violent crime - violence offences per 1,000 population",All ages,40.44847
Blackpool,Persons,Lower CI 95.0 limit,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,77.85857
Blackpool,Persons,Lower CI 95.0 limit,2018,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,253.9
Blackpool,Persons,Lower CI 95.0 limit,2018,Mental Health: QOF prevalence,All ages,1.48087038193788
Blackpool,Persons,Lower CI 95.0 limit,2018,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,62.6943
Blackpool,Persons,Lower CI 95.0 limit,2018,Smoking: QOF prevalence,15+ yrs,25.0677622808408
Blackpool,Persons,Lower CI 95.0 limit,2018,"Violent crime - sexual offences per 1,000 population",All ages,4.70677
Blackpool,Persons,Lower CI 95.0 limit,2018,"Violent crime - violence offences per 1,000 population",All ages,55.16589
Blackpool,Persons,Lower CI 95.0 limit,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,61.87476
Blackpool,Persons,Lower CI 95.0 limit,2019,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,239.5
Blackpool,Persons,Lower CI 95.0 limit,2019,Mental Health: QOF prevalence,All ages,1.5419249615874
Blackpool,Persons,Lower CI 95.0 limit,2019,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,61.02088
Blackpool,Persons,Lower CI 95.0 limit,2019,Smoking: QOF prevalence,15+ yrs,25.2738469363972
Blackpool,Persons,Lower CI 95.0 limit,2019,"Violent crime - sexual offences per 1,000 population",All ages,5.33475
Blackpool,Persons,Lower CI 95.0 limit,2019,"Violent crime - violence offences per 1,000 population",All ages,79.17756
Blackpool,Persons,Lower CI 95.0 limit,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,52.40467
Blackpool,Persons,Lower CI 95.0 limit,2020,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,229.2
Blackpool,Persons,Lower CI 95.0 limit,2020,Mental Health: QOF prevalence,All ages,1.44391860106882
Blackpool,Persons,Lower CI 95.0 limit,2020,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,67.6815
Blackpool,Persons,Lower CI 95.0 limit,2020,Smoking: QOF prevalence,15+ yrs,24.9214232155843
Blackpool,Persons,Lower CI 95.0 limit,2020,"Violent crime - sexual offences per 1,000 population",All ages,4.5404
Blackpool,Persons,Lower CI 95.0 limit,2020,"Violent crime - violence offences per 1,000 population",All ages,66.52292
Blackpool,Persons,Lower CI 95.0 limit,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,53.75293
Blackpool,Persons,Lower CI 95.0 limit,2021,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,208.1
Blackpool,Persons,Lower CI 95.0 limit,2021,Mental Health: QOF prevalence,All ages,1.49193729658977
Blackpool,Persons,Lower CI 95.0 limit,2021,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,65.59406
Blackpool,Persons,Lower CI 95.0 limit,2021,Smoking: QOF prevalence,15+ yrs,24.3793693025795
Blackpool,Persons,Lower CI 95.0 limit,2021,"Violent crime - sexual offences per 1,000 population",All ages,3.97744
Blackpool,Persons,Lower CI 95.0 limit,2021,"Violent crime - violence offences per 1,000 population",All ages,58.68579
Blackpool,Persons,Lower CI 95.0 limit,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,51.36652
Blackpool,Persons,Lower CI 95.0 limit,2022,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,210.8
Blackpool,Persons,Lower CI 95.0 limit,2022,Mental Health: QOF prevalence,All ages,1.52704357201588
Blackpool,Persons,Lower CI 95.0 limit,2022,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,68.04878
Blackpool,Persons,Lower CI 95.0 limit,2022,Smoking: QOF prevalence,15+ yrs,23.6544016262845
Blackpool,Persons,Lower CI 95.0 limit,2022,"Violent crime - sexual offences per 1,000 population",All ages,5.74253
Blackpool,Persons,Lower CI 95.0 limit,2022,"Violent crime - violence offences per 1,000 population",All ages,74.53862
Blackpool,Persons,Lower CI 95.0 limit,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,54.38902
Blackpool,Persons,Lower CI 95.0 limit,2023,Excess under 75 mortality rate in adults with severe mental illness (SMI),18-74 yrs,222.7
Blackpool,Persons,Lower CI 95.0 limit,2023,Mental Health: QOF prevalence,All ages,1.63289037337072
Blackpool,Persons,Lower CI 95.0 limit,2023,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,67.51269
Blackpool,Persons,Lower CI 95.0 limit,2023,Smoking: QOF prevalence,15+ yrs,22.7558167342388
Blackpool,Persons,Lower CI 95.0 limit,2023,"Violent crime - sexual offences per 1,000 population",All ages,5.69155
Blackpool,Persons,Lower CI 95.0 limit,2023,"Violent crime - violence offences per 1,000 population",All ages,68.66788
Blackpool,Persons,Lower CI 95.0 limit,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,48.57641
Blackpool,Persons,Lower CI 95.0 limit,2024,Mental Health: QOF prevalence,All ages,1.54953206616018
Blackpool,Persons,Lower CI 95.0 limit,2024,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,69.20943
Blackpool,Persons,Lower CI 95.0 limit,2024,Smoking: QOF prevalence,15+ yrs,21.769994299255
Blackpool,Persons,Lower CI 95.0 limit,2024,"Violent crime - sexual offences per 1,000 population",All ages,5.19311
Blackpool,Persons,Lower CI 95.0 limit,2024,"Violent crime - violence offences per 1,000 population",All ages,68.04217
Blackpool,Persons,Lower CI 95.0 limit,2025,Mental Health: QOF prevalence,All ages,1.648042717
Blackpool,Persons,Lower CI 95.0 limit,2025,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,64.37768
Blackpool,Persons,Lower CI 95.0 limit,2025,Smoking: QOF prevalence,15+ yrs,20.6417117704213
Blackpool,Persons,Lower CI 95.0 limit,2025,"Violent crime - sexual offences per 1,000 population",All ages,5.98648
Blackpool,Persons,Lower CI 95.0 limit,2025,"Violent crime - violence offences per 1,000 population",All ages,66.59466
Blackpool,Persons,Lower CI 99.8 limit,2011-2013,Violent crime - hospital admissions for violence (including sexual violence),All ages,125.17975
Blackpool,Persons,Lower CI 99.8 limit,2012-2014,Violent crime - hospital admissions for violence (including sexual violence),All ages,123.56795
Blackpool,Persons,Lower CI 99.8 limit,2013,Mental Health: QOF prevalence,All ages,1.2445631778744
Blackpool,Persons,Lower CI 99.8 limit,2013-2015,Violent crime - hospital admissions for violence (including sexual violence),All ages,118.86577
Blackpool,Persons,Lower CI 99.8 limit,2014,Mental Health: QOF prevalence,All ages,1.25688434128584
Blackpool,Persons,Lower CI 99.8 limit,2014,Smoking: QOF prevalence,15+ yrs,27.5470795032393
Blackpool,Persons,Lower CI 99.8 limit,2014-2016,Violent crime - hospital admissions for violence (including sexual violence),All ages,112.5485
Blackpool,Persons,Lower CI 99.8 limit,2015,Mental Health: QOF prevalence,All ages,1.29921875510291
Blackpool,Persons,Lower CI 99.8 limit,2015,Smoking: QOF prevalence,15+ yrs,26.7887043251312
Blackpool,Persons,Lower CI 99.8 limit,2015-2017,Violent crime - hospital admissions for violence (including sexual violence),All ages,103.9556
Blackpool,Persons,Lower CI 99.8 limit,2016,Mental Health: QOF prevalence,All ages,1.35472352445355
Blackpool,Persons,Lower CI 99.8 limit,2016,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,61.20482
Blackpool,Persons,Lower CI 99.8 limit,2016,Smoking: QOF prevalence,15+ yrs,26.4328597211657
Blackpool,Persons,Lower CI 99.8 limit,2016,"Violent crime - sexual offences per 1,000 population",All ages,2.9434
Blackpool,Persons,Lower CI 99.8 limit,2016,"Violent crime - violence offences per 1,000 population",All ages,34.59081
Blackpool,Persons,Lower CI 99.8 limit,2016-2018,Violent crime - hospital admissions for violence (including sexual violence),All ages,85.41858
Blackpool,Persons,Lower CI 99.8 limit,2017,Mental Health: QOF prevalence,All ages,1.4675011786119
Blackpool,Persons,Lower CI 99.8 limit,2017,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,55.50098
Blackpool,Persons,Lower CI 99.8 limit,2017,Smoking: QOF prevalence,15+ yrs,26.120158936097
Blackpool,Persons,Lower CI 99.8 limit,2017,"Violent crime - sexual offences per 1,000 population",All ages,3.98868
Blackpool,Persons,Lower CI 99.8 limit,2017,"Violent crime - violence offences per 1,000 population",All ages,39.85036
Blackpool,Persons,Lower CI 99.8 limit,2017-2019,Violent crime - hospital admissions for violence (including sexual violence),All ages,73.1119
Blackpool,Persons,Lower CI 99.8 limit,2018,Mental Health: QOF prevalence,All ages,1.44960914360604
Blackpool,Persons,Lower CI 99.8 limit,2018,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,59.58523
Blackpool,Persons,Lower CI 99.8 limit,2018,Smoking: QOF prevalence,15+ yrs,24.9416513382231
Blackpool,Persons,Lower CI 99.8 limit,2018,"Violent crime - sexual offences per 1,000 population",All ages,4.50644
Blackpool,Persons,Lower CI 99.8 limit,2018,"Violent crime - violence offences per 1,000 population",All ages,54.46696
Blackpool,Persons,Lower CI 99.8 limit,2018-2020,Violent crime - hospital admissions for violence (including sexual violence),All ages,57.64014
Blackpool,Persons,Lower CI 99.8 limit,2019,Mental Health: QOF prevalence,All ages,1.50972813528173
Blackpool,Persons,Lower CI 99.8 limit,2019,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,58.46868
Blackpool,Persons,Lower CI 99.8 limit,2019,Smoking: QOF prevalence,15+ yrs,25.1459682038436
Blackpool,Persons,Lower CI 99.8 limit,2019,"Violent crime - sexual offences per 1,000 population",All ages,5.1212
Blackpool,Persons,Lower CI 99.8 limit,2019,"Violent crime - violence offences per 1,000 population",All ages,78.33943
Blackpool,Persons,Lower CI 99.8 limit,2019-2021,Violent crime - hospital admissions for violence (including sexual violence),All ages,48.51773
Blackpool,Persons,Lower CI 99.8 limit,2020,Mental Health: QOF prevalence,All ages,1.41268197919635
Blackpool,Persons,Lower CI 99.8 limit,2020,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,65.33934
Blackpool,Persons,Lower CI 99.8 limit,2020,Smoking: QOF prevalence,15+ yrs,24.7944439295056
Blackpool,Persons,Lower CI 99.8 limit,2020,"Violent crime - sexual offences per 1,000 population",All ages,4.34367
Blackpool,Persons,Lower CI 99.8 limit,2020,"Violent crime - violence offences per 1,000 population",All ages,65.7546
Blackpool,Persons,Lower CI 99.8 limit,2020-2022,Violent crime - hospital admissions for violence (including sexual violence),All ages,49.80308
Blackpool,Persons,Lower CI 99.8 limit,2021,Mental Health: QOF prevalence,All ages,1.46017063524251
Blackpool,Persons,Lower CI 99.8 limit,2021,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,63.11856
Blackpool,Persons,Lower CI 99.8 limit,2021,Smoking: QOF prevalence,15+ yrs,24.253469335465
Blackpool,Persons,Lower CI 99.8 limit,2021,"Violent crime - sexual offences per 1,000 population",All ages,3.79396
Blackpool,Persons,Lower CI 99.8 limit,2021,"Violent crime - violence offences per 1,000 population",All ages,57.96573
Blackpool,Persons,Lower CI 99.8 limit,2021-2023,Violent crime - hospital admissions for violence (including sexual violence),All ages,47.50592
Blackpool,Persons,Lower CI 99.8 limit,2022,Mental Health: QOF prevalence,All ages,1.49495732266327
Blackpool,Persons,Lower CI 99.8 limit,2022,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,65.60976
Blackpool,Persons,Lower CI 99.8 limit,2022,Smoking: QOF prevalence,15+ yrs,23.5303273709079
Blackpool,Persons,Lower CI 99.8 limit,2022,"Violent crime - sexual offences per 1,000 population",All ages,5.52039
Blackpool,Persons,Lower CI 99.8 limit,2022,"Violent crime - violence offences per 1,000 population",All ages,73.72415
Blackpool,Persons,Lower CI 99.8 limit,2022-2024,Violent crime - hospital admissions for violence (including sexual violence),All ages,50.40759
Blackpool,Persons,Lower CI 99.8 limit,2023,Mental Health: QOF prevalence,All ages,1.59985974868901
Blackpool,Persons,Lower CI 99.8 limit,2023,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,65.48198
Blackpool,Persons,Lower CI 99.8 limit,2023,Smoking: QOF prevalence,15+ yrs,22.6338026356447
Blackpool,Persons,Lower CI 99.8 limit,2023,"Violent crime - sexual offences per 1,000 population",All ages,5.46996
Blackpool,Persons,Lower CI 99.8 limit,2023,"Violent crime - violence offences per 1,000 population",All ages,67.88471
Blackpool,Persons,Lower CI 99.8 limit,2023-2025,Violent crime - hospital admissions for violence (including sexual violence),All ages,44.8216
Blackpool,Persons,Lower CI 99.8 limit,2024,Mental Health: QOF prevalence,All ages,1.51758062838754
Blackpool,Persons,Lower CI 99.8 limit,2024,"Overweight (including obesity) prevalence in adults, (using adjusted self-reported height and weight)",18+ yrs,67.54494
Blackpool,Persons,Lower CI 99.8 limit,2024,Smoking: QOF prevalence,15+ yrs,21.6504844720886
Blackpool,Persons,Lower CI 99.8 limit,2024,"Violent crime - sexual offences per 1,000 population",All ages,4.9822
