Local Authority,Statistics,Sex,Pay Type,Attribute,Sum of Value
West Lancashire,25 percentile,Part Time Workers,Weekly pay - gross,Value,1406.3
Wyre,25 percentile,Part Time Workers,Weekly pay - gross,Confidence,267
Wyre,25 percentile,Part Time Workers,Weekly pay - gross,Value,2018.3
Blackburn with Darwen,25 percentile,Total,Annual pay - gross,Confidence,190.3
Blackburn with Darwen,25 percentile,Total,Annual pay - gross,Value,247212
Blackpool,25 percentile,Total,Annual pay - gross,Confidence,127.4
Blackpool,25 percentile,Total,Annual pay - gross,Value,175504
Burnley,25 percentile,Total,Annual pay - gross,Confidence,184.5
Burnley,25 percentile,Total,Annual pay - gross,Value,242676
Chorley,25 percentile,Total,Annual pay - gross,Confidence,214.9
Chorley,25 percentile,Total,Annual pay - gross,Value,257907
Fylde,25 percentile,Total,Annual pay - gross,Confidence,184.6
Fylde,25 percentile,Total,Annual pay - gross,Value,242280
Great Britain,25 percentile,Total,Annual pay - gross,Confidence,8.3
Great Britain,25 percentile,Total,Annual pay - gross,Value,278350
Hyndburn,25 percentile,Total,Annual pay - gross,Confidence,176.6
Hyndburn,25 percentile,Total,Annual pay - gross,Value,235816
Lancaster,25 percentile,Total,Annual pay - gross,Confidence,161
Lancaster,25 percentile,Total,Annual pay - gross,Value,215836
North West,25 percentile,Total,Annual pay - gross,Confidence,32.6
North West,25 percentile,Total,Annual pay - gross,Value,268465
Pendle,25 percentile,Total,Annual pay - gross,Confidence,157.5
Pendle,25 percentile,Total,Annual pay - gross,Value,201733
Preston,25 percentile,Total,Annual pay - gross,Confidence,167.8
Preston,25 percentile,Total,Annual pay - gross,Value,201692
Ribble Valley,25 percentile,Total,Annual pay - gross,Confidence,210
Ribble Valley,25 percentile,Total,Annual pay - gross,Value,255221
Rossendale,25 percentile,Total,Annual pay - gross,Confidence,205.6
Rossendale,25 percentile,Total,Annual pay - gross,Value,218650
South Ribble,25 percentile,Total,Annual pay - gross,Confidence,200.9
South Ribble,25 percentile,Total,Annual pay - gross,Value,276538
West Lancashire,25 percentile,Total,Annual pay - gross,Confidence,137.5
West Lancashire,25 percentile,Total,Annual pay - gross,Value,229537
Wyre,25 percentile,Total,Annual pay - gross,Confidence,188.7
Wyre,25 percentile,Total,Annual pay - gross,Value,215689
Blackburn with Darwen,25 percentile,Total,Hourly pay - gross,Confidence,44.6
Blackburn with Darwen,25 percentile,Total,Hourly pay - gross,Value,155.74
Blackpool,25 percentile,Total,Hourly pay - gross,Confidence,33
Blackpool,25 percentile,Total,Hourly pay - gross,Value,148.83
Burnley,25 percentile,Total,Hourly pay - gross,Confidence,62
Burnley,25 percentile,Total,Hourly pay - gross,Value,160.57
Chorley,25 percentile,Total,Hourly pay - gross,Confidence,61.7
Chorley,25 percentile,Total,Hourly pay - gross,Value,172.58
Fylde,25 percentile,Total,Hourly pay - gross,Confidence,92.7
Fylde,25 percentile,Total,Hourly pay - gross,Value,170.32
Great Britain,25 percentile,Total,Hourly pay - gross,Confidence,1.7
Great Britain,25 percentile,Total,Hourly pay - gross,Value,170.76
Hyndburn,25 percentile,Total,Hourly pay - gross,Confidence,58.6
Hyndburn,25 percentile,Total,Hourly pay - gross,Value,158.51
Lancaster,25 percentile,Total,Hourly pay - gross,Confidence,48.2
Lancaster,25 percentile,Total,Hourly pay - gross,Value,160.5
North West,25 percentile,Total,Hourly pay - gross,Confidence,7.5
North West,25 percentile,Total,Hourly pay - gross,Value,164.68
Pendle,25 percentile,Total,Hourly pay - gross,Confidence,58.3
Pendle,25 percentile,Total,Hourly pay - gross,Value,158.95
Preston,25 percentile,Total,Hourly pay - gross,Confidence,44.8
Preston,25 percentile,Total,Hourly pay - gross,Value,157.39
Ribble Valley,25 percentile,Total,Hourly pay - gross,Confidence,103
Ribble Valley,25 percentile,Total,Hourly pay - gross,Value,176.44
Rossendale,25 percentile,Total,Hourly pay - gross,Confidence,64.1
Rossendale,25 percentile,Total,Hourly pay - gross,Value,160.06
South Ribble,25 percentile,Total,Hourly pay - gross,Confidence,55.7
South Ribble,25 percentile,Total,Hourly pay - gross,Value,167.42
West Lancashire,25 percentile,Total,Hourly pay - gross,Confidence,63.9
West Lancashire,25 percentile,Total,Hourly pay - gross,Value,168.01
Wyre,25 percentile,Total,Hourly pay - gross,Confidence,63.2
Wyre,25 percentile,Total,Hourly pay - gross,Value,162.46
Blackburn with Darwen,25 percentile,Total,Weekly pay - gross,Confidence,135.5
Blackburn with Darwen,25 percentile,Total,Weekly pay - gross,Value,4906.1
Blackpool,25 percentile,Total,Weekly pay - gross,Confidence,149.4
Blackpool,25 percentile,Total,Weekly pay - gross,Value,4388.3
Burnley,25 percentile,Total,Weekly pay - gross,Confidence,160.8
Burnley,25 percentile,Total,Weekly pay - gross,Value,5334.5
Chorley,25 percentile,Total,Weekly pay - gross,Confidence,151
Chorley,25 percentile,Total,Weekly pay - gross,Value,5371.4
Fylde,25 percentile,Total,Weekly pay - gross,Confidence,183.7
Fylde,25 percentile,Total,Weekly pay - gross,Value,5398
Great Britain,25 percentile,Total,Weekly pay - gross,Confidence,4.9
Great Britain,25 percentile,Total,Weekly pay - gross,Value,5426.7
Hyndburn,25 percentile,Total,Weekly pay - gross,Confidence,146.7
Hyndburn,25 percentile,Total,Weekly pay - gross,Value,5081.9
Lancaster,25 percentile,Total,Weekly pay - gross,Confidence,149.6
Lancaster,25 percentile,Total,Weekly pay - gross,Value,4854
North West,25 percentile,Total,Weekly pay - gross,Confidence,18.4
North West,25 percentile,Total,Weekly pay - gross,Value,5252.8
Pendle,25 percentile,Total,Weekly pay - gross,Confidence,167.6
Pendle,25 percentile,Total,Weekly pay - gross,Value,4816.4
Preston,25 percentile,Total,Weekly pay - gross,Confidence,158.1
Preston,25 percentile,Total,Weekly pay - gross,Value,4629.4
Ribble Valley,25 percentile,Total,Weekly pay - gross,Confidence,203.4
Ribble Valley,25 percentile,Total,Weekly pay - gross,Value,5719.6
Rossendale,25 percentile,Total,Weekly pay - gross,Confidence,189.4
Rossendale,25 percentile,Total,Weekly pay - gross,Value,5281.2
South Ribble,25 percentile,Total,Weekly pay - gross,Confidence,140.7
South Ribble,25 percentile,Total,Weekly pay - gross,Value,5426.9
West Lancashire,25 percentile,Total,Weekly pay - gross,Confidence,165.8
West Lancashire,25 percentile,Total,Weekly pay - gross,Value,5418
Wyre,25 percentile,Total,Weekly pay - gross,Confidence,187.7
Wyre,25 percentile,Total,Weekly pay - gross,Value,4789.6
Blackburn with Darwen,75 percentile,Female,Annual pay - gross,Confidence,72
Blackburn with Darwen,75 percentile,Female,Annual pay - gross,Value,108348
Blackpool,75 percentile,Female,Annual pay - gross,Confidence,199
Blackpool,75 percentile,Female,Annual pay - gross,Value,289125
Chorley,75 percentile,Female,Annual pay - gross,Confidence,174
Chorley,75 percentile,Female,Annual pay - gross,Value,314861
Great Britain,75 percentile,Female,Annual pay - gross,Confidence,8.6
Great Britain,75 percentile,Female,Annual pay - gross,Value,544483
Lancaster,75 percentile,Female,Annual pay - gross,Confidence,58
Lancaster,75 percentile,Female,Annual pay - gross,Value,95488
North West,75 percentile,Female,Annual pay - gross,Confidence,49.4
North West,75 percentile,Female,Annual pay - gross,Value,515354
Preston,75 percentile,Female,Annual pay - gross,Confidence,151
Preston,75 percentile,Female,Annual pay - gross,Value,220534
Ribble Valley,75 percentile,Female,Annual pay - gross,Confidence,20
Ribble Valley,75 percentile,Female,Annual pay - gross,Value,28664
South Ribble,75 percentile,Female,Annual pay - gross,Confidence,199
South Ribble,75 percentile,Female,Annual pay - gross,Value,318263
West Lancashire,75 percentile,Female,Annual pay - gross,Confidence,88
West Lancashire,75 percentile,Female,Annual pay - gross,Value,152110
Wyre,75 percentile,Female,Annual pay - gross,Confidence,73
Wyre,75 percentile,Female,Annual pay - gross,Value,116840
Blackburn with Darwen,75 percentile,Female,Hourly pay - gross,Confidence,159
Blackburn with Darwen,75 percentile,Female,Hourly pay - gross,Value,147.62
Blackpool,75 percentile,Female,Hourly pay - gross,Confidence,225
Blackpool,75 percentile,Female,Hourly pay - gross,Value,241.91
Burnley,75 percentile,Female,Hourly pay - gross,Confidence,104
Burnley,75 percentile,Female,Hourly pay - gross,Value,100.91
Chorley,75 percentile,Female,Hourly pay - gross,Confidence,260
Chorley,75 percentile,Female,Hourly pay - gross,Value,323.79
Fylde,75 percentile,Female,Hourly pay - gross,Confidence,142
Fylde,75 percentile,Female,Hourly pay - gross,Value,138.26
Great Britain,75 percentile,Female,Hourly pay - gross,Confidence,5.3
Great Britain,75 percentile,Female,Hourly pay - gross,Value,320.32
Hyndburn,75 percentile,Female,Hourly pay - gross,Confidence,160
Hyndburn,75 percentile,Female,Hourly pay - gross,Value,139.39
Lancaster,75 percentile,Female,Hourly pay - gross,Confidence,270
Lancaster,75 percentile,Female,Hourly pay - gross,Value,274.51
North West,75 percentile,Female,Hourly pay - gross,Confidence,31.5
North West,75 percentile,Female,Hourly pay - gross,Value,300.62
Pendle,75 percentile,Female,Hourly pay - gross,Confidence,180
Pendle,75 percentile,Female,Hourly pay - gross,Value,144.73
Preston,75 percentile,Female,Hourly pay - gross,Confidence,226.6
Preston,75 percentile,Female,Hourly pay - gross,Value,271.15
Ribble Valley,75 percentile,Female,Hourly pay - gross,Confidence,147
Ribble Valley,75 percentile,Female,Hourly pay - gross,Value,143.01
Rossendale,75 percentile,Female,Hourly pay - gross,Confidence,39
Rossendale,75 percentile,Female,Hourly pay - gross,Value,38.18
South Ribble,75 percentile,Female,Hourly pay - gross,Confidence,240.8
South Ribble,75 percentile,Female,Hourly pay - gross,Value,281.52
West Lancashire,75 percentile,Female,Hourly pay - gross,Confidence,296
West Lancashire,75 percentile,Female,Hourly pay - gross,Value,324.11
Wyre,75 percentile,Female,Hourly pay - gross,Confidence,261
Wyre,75 percentile,Female,Hourly pay - gross,Value,283.99
Blackburn with Darwen,75 percentile,Female,Weekly pay - gross,Confidence,166.3
Blackburn with Darwen,75 percentile,Female,Weekly pay - gross,Value,5552.6
Blackpool,75 percentile,Female,Weekly pay - gross,Confidence,220
Blackpool,75 percentile,Female,Weekly pay - gross,Value,7668.5
Burnley,75 percentile,Female,Weekly pay - gross,Confidence,122
Burnley,75 percentile,Female,Weekly pay - gross,Value,4021.4
Chorley,75 percentile,Female,Weekly pay - gross,Confidence,231
Chorley,75 percentile,Female,Weekly pay - gross,Value,10331.3
Fylde,75 percentile,Female,Weekly pay - gross,Confidence,132
Fylde,75 percentile,Female,Weekly pay - gross,Value,4448.3
Great Britain,75 percentile,Female,Weekly pay - gross,Confidence,5.6
Great Britain,75 percentile,Female,Weekly pay - gross,Value,10563
Hyndburn,75 percentile,Female,Weekly pay - gross,Confidence,176
Hyndburn,75 percentile,Female,Weekly pay - gross,Value,5299.9
Lancaster,75 percentile,Female,Weekly pay - gross,Confidence,268
Lancaster,75 percentile,Female,Weekly pay - gross,Value,8289.3
North West,75 percentile,Female,Weekly pay - gross,Confidence,31.5
North West,75 percentile,Female,Weekly pay - gross,Value,10007.9
Pendle,75 percentile,Female,Weekly pay - gross,Confidence,120
Pendle,75 percentile,Female,Weekly pay - gross,Value,3714.3
Preston,75 percentile,Female,Weekly pay - gross,Confidence,269
Preston,75 percentile,Female,Weekly pay - gross,Value,8797.6
Ribble Valley,75 percentile,Female,Weekly pay - gross,Confidence,157
Ribble Valley,75 percentile,Female,Weekly pay - gross,Value,4977.1
Rossendale,75 percentile,Female,Weekly pay - gross,Confidence,54
Rossendale,75 percentile,Female,Weekly pay - gross,Value,2042
South Ribble,75 percentile,Female,Weekly pay - gross,Confidence,274.7
South Ribble,75 percentile,Female,Weekly pay - gross,Value,9820.1
West Lancashire,75 percentile,Female,Weekly pay - gross,Confidence,282
West Lancashire,75 percentile,Female,Weekly pay - gross,Value,10149.5
Wyre,75 percentile,Female,Weekly pay - gross,Confidence,227
Wyre,75 percentile,Female,Weekly pay - gross,Value,7965.6
Blackburn with Darwen,75 percentile,Full Time Workers,Annual pay - gross,Confidence,171
Blackburn with Darwen,75 percentile,Full Time Workers,Annual pay - gross,Value,440420
Blackpool,75 percentile,Full Time Workers,Annual pay - gross,Confidence,164.1
Blackpool,75 percentile,Full Time Workers,Annual pay - gross,Value,404998
Burnley,75 percentile,Full Time Workers,Annual pay - gross,Confidence,218
Burnley,75 percentile,Full Time Workers,Annual pay - gross,Value,469883
Chorley,75 percentile,Full Time Workers,Annual pay - gross,Confidence,188
Chorley,75 percentile,Full Time Workers,Annual pay - gross,Value,540067
Fylde,75 percentile,Full Time Workers,Annual pay - gross,Confidence,69
Fylde,75 percentile,Full Time Workers,Annual pay - gross,Value,183899
Great Britain,75 percentile,Full Time Workers,Annual pay - gross,Confidence,8
Great Britain,75 percentile,Full Time Workers,Annual pay - gross,Value,753114
Hyndburn,75 percentile,Full Time Workers,Annual pay - gross,Confidence,148
Hyndburn,75 percentile,Full Time Workers,Annual pay - gross,Value,346539
Lancaster,75 percentile,Full Time Workers,Annual pay - gross,Confidence,165
Lancaster,75 percentile,Full Time Workers,Annual pay - gross,Value,478319
North West,75 percentile,Full Time Workers,Annual pay - gross,Confidence,32.7
North West,75 percentile,Full Time Workers,Annual pay - gross,Value,702660
Pendle,75 percentile,Full Time Workers,Annual pay - gross,Confidence,116
Pendle,75 percentile,Full Time Workers,Annual pay - gross,Value,233258
Preston,75 percentile,Full Time Workers,Annual pay - gross,Confidence,180.7
Preston,75 percentile,Full Time Workers,Annual pay - gross,Value,552803
Ribble Valley,75 percentile,Full Time Workers,Annual pay - gross,Confidence,40
Ribble Valley,75 percentile,Full Time Workers,Annual pay - gross,Value,75824
Rossendale,75 percentile,Full Time Workers,Annual pay - gross,Confidence,111
Rossendale,75 percentile,Full Time Workers,Annual pay - gross,Value,238581
South Ribble,75 percentile,Full Time Workers,Annual pay - gross,Confidence,216.6
South Ribble,75 percentile,Full Time Workers,Annual pay - gross,Value,607191
West Lancashire,75 percentile,Full Time Workers,Annual pay - gross,Confidence,232
West Lancashire,75 percentile,Full Time Workers,Annual pay - gross,Value,617070
Wyre,75 percentile,Full Time Workers,Annual pay - gross,Confidence,196
Wyre,75 percentile,Full Time Workers,Annual pay - gross,Value,473839
Blackburn with Darwen,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,200.6
Blackburn with Darwen,75 percentile,Full Time Workers,Hourly pay - gross,Value,303.99
Blackpool,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,179.4
Blackpool,75 percentile,Full Time Workers,Hourly pay - gross,Value,269.93
Burnley,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,249
Burnley,75 percentile,Full Time Workers,Hourly pay - gross,Value,316
Chorley,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,199.5
Chorley,75 percentile,Full Time Workers,Hourly pay - gross,Value,377.17
Fylde,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,272
Fylde,75 percentile,Full Time Workers,Hourly pay - gross,Value,406.33
Great Britain,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,5.4
Great Britain,75 percentile,Full Time Workers,Hourly pay - gross,Value,380.34
Hyndburn,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,256
Hyndburn,75 percentile,Full Time Workers,Hourly pay - gross,Value,319.06
Lancaster,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,195.5
Lancaster,75 percentile,Full Time Workers,Hourly pay - gross,Value,355.06
North West,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,24.9
North West,75 percentile,Full Time Workers,Hourly pay - gross,Value,354.11
Pendle,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,266.6
Pendle,75 percentile,Full Time Workers,Hourly pay - gross,Value,314.11
Preston,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,163.5
Preston,75 percentile,Full Time Workers,Hourly pay - gross,Value,324.45
Ribble Valley,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,241
Ribble Valley,75 percentile,Full Time Workers,Hourly pay - gross,Value,313.17
Rossendale,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,246
Rossendale,75 percentile,Full Time Workers,Hourly pay - gross,Value,290.09
South Ribble,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,185.8
South Ribble,75 percentile,Full Time Workers,Hourly pay - gross,Value,348.43
West Lancashire,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,218.6
West Lancashire,75 percentile,Full Time Workers,Hourly pay - gross,Value,377.12
Wyre,75 percentile,Full Time Workers,Hourly pay - gross,Confidence,246.3
Wyre,75 percentile,Full Time Workers,Hourly pay - gross,Value,349.09
Blackburn with Darwen,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,183.4
Blackburn with Darwen,75 percentile,Full Time Workers,Weekly pay - gross,Value,11799.4
Blackpool,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,171.1
Blackpool,75 percentile,Full Time Workers,Weekly pay - gross,Value,10617.4
Burnley,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,216.7
Burnley,75 percentile,Full Time Workers,Weekly pay - gross,Value,12386.2
Chorley,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,192.6
Chorley,75 percentile,Full Time Workers,Weekly pay - gross,Value,14301.2
Fylde,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,252
Fylde,75 percentile,Full Time Workers,Weekly pay - gross,Value,14357.1
Great Britain,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,5.5
Great Britain,75 percentile,Full Time Workers,Weekly pay - gross,Value,14475
Hyndburn,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,221.3
Hyndburn,75 percentile,Full Time Workers,Weekly pay - gross,Value,12316.6
Lancaster,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,184.1
Lancaster,75 percentile,Full Time Workers,Weekly pay - gross,Value,13600.6
North West,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,21.6
North West,75 percentile,Full Time Workers,Weekly pay - gross,Value,13571.2
Pendle,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,260
Pendle,75 percentile,Full Time Workers,Weekly pay - gross,Value,12208.3
Preston,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,162.6
Preston,75 percentile,Full Time Workers,Weekly pay - gross,Value,12652.6
Ribble Valley,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,240
Ribble Valley,75 percentile,Full Time Workers,Weekly pay - gross,Value,11853.2
Rossendale,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,286
Rossendale,75 percentile,Full Time Workers,Weekly pay - gross,Value,13507.9
South Ribble,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,169
South Ribble,75 percentile,Full Time Workers,Weekly pay - gross,Value,13398.2
West Lancashire,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,206.2
West Lancashire,75 percentile,Full Time Workers,Weekly pay - gross,Value,14164
Wyre,75 percentile,Full Time Workers,Weekly pay - gross,Confidence,221.6
Wyre,75 percentile,Full Time Workers,Weekly pay - gross,Value,13098.7
Blackburn with Darwen,75 percentile,Male,Annual pay - gross,Confidence,190
Blackburn with Darwen,75 percentile,Male,Annual pay - gross,Value,385389
Blackpool,75 percentile,Male,Annual pay - gross,Confidence,104
Blackpool,75 percentile,Male,Annual pay - gross,Value,225637
Burnley,75 percentile,Male,Annual pay - gross,Confidence,89
Burnley,75 percentile,Male,Annual pay - gross,Value,167068
Chorley,75 percentile,Male,Annual pay - gross,Confidence,171
Chorley,75 percentile,Male,Annual pay - gross,Value,432341
Fylde,75 percentile,Male,Annual pay - gross,Confidence,20
Fylde,75 percentile,Male,Annual pay - gross,Value,44759
Great Britain,75 percentile,Male,Annual pay - gross,Confidence,7.7
Great Britain,75 percentile,Male,Annual pay - gross,Value,774387
Hyndburn,75 percentile,Male,Annual pay - gross,Confidence,53
Hyndburn,75 percentile,Male,Annual pay - gross,Value,93373
Lancaster,75 percentile,Male,Annual pay - gross,Confidence,156
Lancaster,75 percentile,Male,Annual pay - gross,Value,402907
North West,75 percentile,Male,Annual pay - gross,Confidence,45.1
North West,75 percentile,Male,Annual pay - gross,Value,722415
Pendle,75 percentile,Male,Annual pay - gross,Confidence,19
Pendle,75 percentile,Male,Annual pay - gross,Value,33731
Preston,75 percentile,Male,Annual pay - gross,Confidence,172
Preston,75 percentile,Male,Annual pay - gross,Value,427256
South Ribble,75 percentile,Male,Annual pay - gross,Confidence,135
South Ribble,75 percentile,Male,Annual pay - gross,Value,324434
West Lancashire,75 percentile,Male,Annual pay - gross,Confidence,88
West Lancashire,75 percentile,Male,Annual pay - gross,Value,200923
Blackburn with Darwen,75 percentile,Male,Hourly pay - gross,Confidence,250.4
Blackburn with Darwen,75 percentile,Male,Hourly pay - gross,Value,295.14
Blackpool,75 percentile,Male,Hourly pay - gross,Confidence,216
Blackpool,75 percentile,Male,Hourly pay - gross,Value,242.09
Burnley,75 percentile,Male,Hourly pay - gross,Confidence,157
Burnley,75 percentile,Male,Hourly pay - gross,Value,161.38
Chorley,75 percentile,Male,Hourly pay - gross,Confidence,269
Chorley,75 percentile,Male,Hourly pay - gross,Value,374.57
Fylde,75 percentile,Male,Hourly pay - gross,Confidence,122
Fylde,75 percentile,Male,Hourly pay - gross,Value,162.36
Great Britain,75 percentile,Male,Hourly pay - gross,Confidence,5.8
Great Britain,75 percentile,Male,Hourly pay - gross,Value,387.69
Hyndburn,75 percentile,Male,Hourly pay - gross,Confidence,207
Hyndburn,75 percentile,Male,Hourly pay - gross,Value,203.18
Lancaster,75 percentile,Male,Hourly pay - gross,Confidence,230
Lancaster,75 percentile,Male,Hourly pay - gross,Value,355.55
North West,75 percentile,Male,Hourly pay - gross,Confidence,32.4
North West,75 percentile,Male,Hourly pay - gross,Value,359.75
Pendle,75 percentile,Male,Hourly pay - gross,Confidence,241
Pendle,75 percentile,Male,Hourly pay - gross,Value,241.25
Preston,75 percentile,Male,Hourly pay - gross,Confidence,232.3
Preston,75 percentile,Male,Hourly pay - gross,Value,324.79
Ribble Valley,75 percentile,Male,Hourly pay - gross,Confidence,20
Ribble Valley,75 percentile,Male,Hourly pay - gross,Value,21.49
Rossendale,75 percentile,Male,Hourly pay - gross,Confidence,39
Rossendale,75 percentile,Male,Hourly pay - gross,Value,38.59
South Ribble,75 percentile,Male,Hourly pay - gross,Confidence,259
South Ribble,75 percentile,Male,Hourly pay - gross,Value,335.19
West Lancashire,75 percentile,Male,Hourly pay - gross,Confidence,252
West Lancashire,75 percentile,Male,Hourly pay - gross,Value,310.82
Wyre,75 percentile,Male,Hourly pay - gross,Confidence,126
Wyre,75 percentile,Male,Hourly pay - gross,Value,140.58
Blackburn with Darwen,75 percentile,Male,Weekly pay - gross,Confidence,227.1
Blackburn with Darwen,75 percentile,Male,Weekly pay - gross,Value,11235.3
Blackpool,75 percentile,Male,Weekly pay - gross,Confidence,239.7
Blackpool,75 percentile,Male,Weekly pay - gross,Value,10140.4
Burnley,75 percentile,Male,Weekly pay - gross,Confidence,237
Burnley,75 percentile,Male,Weekly pay - gross,Value,10839.7
Chorley,75 percentile,Male,Weekly pay - gross,Confidence,256
Chorley,75 percentile,Male,Weekly pay - gross,Value,14287.4
Fylde,75 percentile,Male,Weekly pay - gross,Confidence,113
Fylde,75 percentile,Male,Weekly pay - gross,Value,6128.8
Great Britain,75 percentile,Male,Weekly pay - gross,Confidence,5.6
Great Britain,75 percentile,Male,Weekly pay - gross,Value,14710
Hyndburn,75 percentile,Male,Weekly pay - gross,Confidence,279
Hyndburn,75 percentile,Male,Weekly pay - gross,Value,10855.6
Lancaster,75 percentile,Male,Weekly pay - gross,Confidence,224.1
Lancaster,75 percentile,Male,Weekly pay - gross,Value,13356.5
North West,75 percentile,Male,Weekly pay - gross,Confidence,29.6
North West,75 percentile,Male,Weekly pay - gross,Value,13758
Pendle,75 percentile,Male,Weekly pay - gross,Confidence,176
Pendle,75 percentile,Male,Weekly pay - gross,Value,7260.2
Preston,75 percentile,Male,Weekly pay - gross,Confidence,221.6
Preston,75 percentile,Male,Weekly pay - gross,Value,12623.6
Rossendale,75 percentile,Male,Weekly pay - gross,Confidence,89
Rossendale,75 percentile,Male,Weekly pay - gross,Value,3978.2
South Ribble,75 percentile,Male,Weekly pay - gross,Confidence,203
South Ribble,75 percentile,Male,Weekly pay - gross,Value,12189.4
West Lancashire,75 percentile,Male,Weekly pay - gross,Confidence,263
West Lancashire,75 percentile,Male,Weekly pay - gross,Value,12351
Wyre,75 percentile,Male,Weekly pay - gross,Confidence,138
Wyre,75 percentile,Male,Weekly pay - gross,Value,6262.3
Blackburn with Darwen,75 percentile,Part Time Workers,Annual pay - gross,Confidence,20
Blackburn with Darwen,75 percentile,Part Time Workers,Annual pay - gross,Value,13417
Blackpool,75 percentile,Part Time Workers,Annual pay - gross,Confidence,90
Blackpool,75 percentile,Part Time Workers,Annual pay - gross,Value,67312
Great Britain,75 percentile,Part Time Workers,Annual pay - gross,Confidence,21.1
Great Britain,75 percentile,Part Time Workers,Annual pay - gross,Value,282259
North West,75 percentile,Part Time Workers,Annual pay - gross,Confidence,78.5
North West,75 percentile,Part Time Workers,Annual pay - gross,Value,274722
Preston,75 percentile,Part Time Workers,Annual pay - gross,Confidence,40
Preston,75 percentile,Part Time Workers,Annual pay - gross,Value,30044
Blackburn with Darwen,75 percentile,Part Time Workers,Hourly pay - gross,Confidence,94
Blackburn with Darwen,75 percentile,Part Time Workers,Hourly pay - gross,Value,64.7
Blackpool,75 percentile,Part Time Workers,Hourly pay - gross,Confidence,243
Blackpool,75 percentile,Part Time Workers,Hourly pay - gross,Value,166.94
Chorley,75 percentile,Part Time Workers,Hourly pay - gross,Confidence,125
Chorley,75 percentile,Part Time Workers,Hourly pay - gross,Value,104.77
Great Britain,75 percentile,Part Time Workers,Hourly pay - gross,Confidence,15.2
Great Britain,75 percentile,Part Time Workers,Hourly pay - gross,Value,252.43
Hyndburn,75 percentile,Part Time Workers,Hourly pay - gross,Confidence,18
Hyndburn,75 percentile,Part Time Workers,Hourly pay - gross,Value,15.84
Lancaster,75 percentile,Part Time Workers,Hourly pay - gross,Confidence,78
Lancaster,75 percentile,Part Time Workers,Hourly pay - gross,Value,59.04
North West,75 percentile,Part Time Workers,Hourly pay - gross,Confidence,52.6
North West,75 percentile,Part Time Workers,Hourly pay - gross,Value,233.58
Preston,75 percentile,Part Time Workers,Hourly pay - gross,Confidence,217
Preston,75 percentile,Part Time Workers,Hourly pay - gross,Value,164.34
South Ribble,75 percentile,Part Time Workers,Hourly pay - gross,Confidence,96
South Ribble,75 percentile,Part Time Workers,Hourly pay - gross,Value,69.69
Wyre,75 percentile,Part Time Workers,Hourly pay - gross,Confidence,39
Wyre,75 percentile,Part Time Workers,Hourly pay - gross,Value,23.77
Blackburn with Darwen,75 percentile,Part Time Workers,Weekly pay - gross,Confidence,114
Blackburn with Darwen,75 percentile,Part Time Workers,Weekly pay - gross,Value,1984.3
Blackpool,75 percentile,Part Time Workers,Weekly pay - gross,Confidence,221
Blackpool,75 percentile,Part Time Workers,Weekly pay - gross,Value,3799.6
Chorley,75 percentile,Part Time Workers,Weekly pay - gross,Confidence,18
Chorley,75 percentile,Part Time Workers,Weekly pay - gross,Value,463.9
Great Britain,75 percentile,Part Time Workers,Weekly pay - gross,Confidence,12.4
Great Britain,75 percentile,Part Time Workers,Weekly pay - gross,Value,5099.7
Hyndburn,75 percentile,Part Time Workers,Weekly pay - gross,Confidence,50
Hyndburn,75 percentile,Part Time Workers,Weekly pay - gross,Value,888.2
Lancaster,75 percentile,Part Time Workers,Weekly pay - gross,Confidence,138
Lancaster,75 percentile,Part Time Workers,Weekly pay - gross,Value,2362.6
North West,75 percentile,Part Time Workers,Weekly pay - gross,Confidence,43.6
North West,75 percentile,Part Time Workers,Weekly pay - gross,Value,4940.6
