Local Authority,Statistics,Sex,Pay Type,Attribute,Sum of Value
Blackburn with Darwen,10 percentile,Full Time Workers,Hourly pay - gross,Value,148
Blackpool,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,34.5
Blackpool,10 percentile,Full Time Workers,Hourly pay - gross,Value,141.81
Burnley,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,71
Burnley,10 percentile,Full Time Workers,Hourly pay - gross,Value,148.96
Chorley,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,64
Chorley,10 percentile,Full Time Workers,Hourly pay - gross,Value,157.09
Fylde,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,84.4
Fylde,10 percentile,Full Time Workers,Hourly pay - gross,Value,154.77
Great Britain,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,2.7
Great Britain,10 percentile,Full Time Workers,Hourly pay - gross,Value,156.61
Hyndburn,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,53
Hyndburn,10 percentile,Full Time Workers,Hourly pay - gross,Value,147.31
Lancaster,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,47.2
Lancaster,10 percentile,Full Time Workers,Hourly pay - gross,Value,149.17
North West,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,7.5
North West,10 percentile,Full Time Workers,Hourly pay - gross,Value,152.82
Pendle,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,61.8
Pendle,10 percentile,Full Time Workers,Hourly pay - gross,Value,145.97
Preston,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,39.3
Preston,10 percentile,Full Time Workers,Hourly pay - gross,Value,146.67
Ribble Valley,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,93.9
Ribble Valley,10 percentile,Full Time Workers,Hourly pay - gross,Value,158.84
Rossendale,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,66
Rossendale,10 percentile,Full Time Workers,Hourly pay - gross,Value,150.39
South Ribble,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,57.8
South Ribble,10 percentile,Full Time Workers,Hourly pay - gross,Value,155.41
West Lancashire,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,62.5
West Lancashire,10 percentile,Full Time Workers,Hourly pay - gross,Value,153.84
Wyre,10 percentile,Full Time Workers,Hourly pay - gross,Confidence,68.9
Wyre,10 percentile,Full Time Workers,Hourly pay - gross,Value,151.33
Blackburn with Darwen,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,65.5
Blackburn with Darwen,10 percentile,Full Time Workers,Weekly pay - gross,Value,5552.6
Blackpool,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,57.3
Blackpool,10 percentile,Full Time Workers,Weekly pay - gross,Value,5372.6
Burnley,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,89.8
Burnley,10 percentile,Full Time Workers,Weekly pay - gross,Value,5670.9
Chorley,10 percentile,Full Time Workers,Weekly pay - gross,Confidence,78.1
Chorley,10 percentile,Full Time Workers,Weekly pay - gross,Value,6059.6
