,gdhi_level,gdhi_trend,children_low_income_relative_level,children_low_income_relative_trend,children_low_income_absolute_level,children_low_income_absolute_trend,residual_waste_per_household_kg_level,residual_waste_per_household_kg_trend,pct_waste_recycled_level,pct_waste_recycled_trend,anxiety_high_pct_level,anxiety_high_pct_trend,life_satisfaction_low_pct_level,life_satisfaction_low_pct_trend,rough_sleeping_single_night_level,rough_sleeping_single_night_trend,rough_sleeping_longterm_level,rough_sleeping_longterm_trend,post16_18_positive_destination_pct_level,post16_18_positive_destination_pct_trend,pct_adults_inactive_level,pct_adults_inactive_trend,household_recycling_rejects_tonnes_level,household_recycling_rejects_tonnes_trend,per_capita_emissions_tCO2e_level,per_capita_emissions_tCO2e_trend,violent_crime_hospital_admissions_level,violent_crime_hospital_admissions_trend,mental_health_qof_prevalence_level,mental_health_qof_prevalence_trend,smoking_qof_prevalence_level,smoking_qof_prevalence_trend,violent_crime_sexual_offences_per_1000_level,violent_crime_sexual_offences_per_1000_trend,violent_crime_violence_offences_per_1000_level,violent_crime_violence_offences_per_1000_trend,reoffending_pct_level,reoffending_pct_trend,obesity_prevalence_adults_level,obesity_prevalence_adults_trend,mean_imd_score,imd_domain_Barriers,imd_domain_Education,imd_domain_Employment,imd_domain_Health,imd_domain_Income,imd_domain_Living,temp_accom_households,temp_accom_dependent_children_households,temp_accom_sent_elsewhere_per_1000,homelessness_duty_accepted_pct
anxiety_high_pct_level,0.009119685384549369,-0.13390511340322475,0.3191033259274003,0.23923878862989667,0.29921881192976785,0.1412738131062992,0.38501794916743715,-0.15279893584852544,-0.36775603845633015,0.16163712891648246,1.0,0.211215940162958,0.473601146818303,-0.11558804255726025,0.13955371476877046,0.030096932800491576,0.11565093020061024,-0.03133998871069197,-0.5042065580430969,-0.5984560234573963,0.3863908688064222,-0.1468656134907942,0.018179704430024715,0.08136931102370355,-0.1813593207021762,0.27828308637094645,0.520307149879187,-0.4506788054714401,0.1800722930432291,-0.06805467390538328,0.4661406167751055,0.23476293705785953,0.39540929156229493,0.16827868440855628,0.4095995015070637,0.31175158540401526,0.2630055264631826,-0.3953629016265,0.46010526446707134,-0.35408189690417285,0.4457300267515214,0.2335140123291433,0.38780001650794715,0.47624542633891814,0.41192449618893673,0.4178149985662941,0.29381348267107277,0.22360676622931763,0.3256431445264921,-0.2316762970968381,0.032429992764849716
anxiety_high_pct_trend,0.1096757089294186,-0.017051310152180876,-0.1472344056266003,-0.24085611554040148,-0.15596318887097455,-0.3116235204988953,-0.15316441447673737,-0.24862483396616744,-0.13545475368875512,0.05760378346543454,0.211215940162958,1.0,-0.31804390612421374,-0.09558661151570959,0.18834897294490913,0.008616032925208357,0.03030271542765538,-0.04541066204469696,-0.12271418600865269,-0.1528624769726175,-0.20337630769017634,-0.056957855289740664,-0.20695036762442895,0.37690510704238034,0.1547114860426671,-0.019264879759813756,-0.026234210648637592,0.027987583368514535,0.29696338803873035,-0.028025509865872156,0.08562873229456198,-0.05661492945832476,0.1505171622379442,0.09517256493227806,0.14319998410450968,0.1280444201010719,0.17139257931391735,0.11219959101795265,-0.12894293933674578,-0.5177166777425539,-0.02950818197969826,-0.10393369220837811,-0.20807062491110892,-0.0003403699013304794,0.05549504676628806,-0.09568608852209529,0.036252568502245,-0.057049664869379096,-0.012052286219283993,-0.42097942190969845,-0.3481964639454692
life_satisfaction_low_pct_level,-0.6575491158995561,-0.5596680763927007,0.5080972545051803,0.5104633897353748,0.5073842654266729,0.5509838036413073,-0.01842701353709259,-0.05977894762278203,-0.4184921769057722,0.29119808280939785,0.473601146818303,-0.31804390612421374,1.0,0.45275522577892324,-0.18951485384011013,0.25602862329891174,-0.06155299037248672,0.09757375273353033,-0.2387292886883826,-0.449603672147234,0.5144236417382428,-0.061602252634028416,-0.2969945578112034,0.20226554611481112,-0.22763848439930215,0.20167415385014312,0.5725442019740475,-0.2642924232680424,0.09024079542625935,-0.22563883522627914,0.5186343030600522,0.25501428109440766,0.2818278164393401,0.2810307400075519,0.32720590160414587,0.45876648477216947,0.23957487324017185,-0.6550840382456043,0.7504726180040471,0.04146398285010351,0.5225526683384913,0.3360909703871191,0.4939262102159787,0.5121916918237543,0.4206768666448273,0.5043425232945065,0.5262134828109254,0.023245971834733523,0.04966432823178952,-0.2522395743260167,0.055782847827970425
life_satisfaction_low_pct_trend,-0.28363336483727386,-0.022675659210787458,0.03434580589566795,-0.02247772459132502,0.044336575774976905,0.07401280205184237,-0.3478507205942125,-0.0491187583794296,-0.1406189134217945,0.21187725575860122,-0.11558804255726025,-0.09558661151570959,0.45275522577892324,1.0,-0.38237496458001435,-0.11355146660914506,-0.2511313717800997,-0.14657542066751805,-0.24469838678861772,-0.4090462528676405,-0.17211104911616898,-0.05469914610418661,-0.2546377226524481,0.3928166881667999,-0.06379784535478795,0.1908341746523912,-0.04290277962068186,0.3382949401546038,-0.25330340898069054,-0.0961451351453145,0.11989349261135919,0.24438451270031045,-0.08149578044632526,0.08340733567406587,-0.037723245008195565,0.09529053301908791,0.173772132302659,-0.2799042517771638,0.1099191305354729,-0.06470039813231546,-0.016979800730087417,0.017664482815626492,-0.07017095739319579,-0.07369023198826856,-0.013687566838028202,-0.053011110714588146,0.1526487588924889,-0.4615788429841786,-0.36561653266526395,-0.3460522588165884,-0.2022743749980429
rough_sleeping_single_night_level,0.4386643891471612,0.32301557295595357,0.4050505664559525,0.3384376187116176,0.38186310725914663,0.28074472599459815,0.3935607086735112,0.2667023693190293,-0.24266489817945402,-0.28553892995777036,0.13955371476877046,0.18834897294490913,-0.18951485384011013,-0.38237496458001435,1.0,-0.2468448535164184,0.9448380875410342,-0.45759118793338965,0.27078779075377757,0.08609695755604926,0.3974775418380983,0.6914122889160816,0.18489073447614338,-0.25709659527903433,-0.38281805614413295,0.24264278225539507,0.502829491511923,-0.4747906738514024,0.7539037327357422,0.5255135236464786,0.5291701186755636,-0.4802590646485687,0.6118872356112569,0.4924962485269694,0.649232387769641,0.44120352289757214,0.6238033961816898,0.37864353341021645,-0.09096902446231335,0.17709869197081,0.5060293195282553,-0.1212305340763517,0.49593937612181366,0.5051206889699569,0.593235967701976,0.5308998192823381,0.1366685721259515,0.4572083913533762,0.4592437669262044,-0.0030362991496139698,-0.4843818870626903
rough_sleeping_single_night_trend,-0.3380597767267831,-0.6062876811359706,0.02967642901673075,0.46694474534425595,0.018069019245442974,0.3993473265718538,-0.24700216956462284,-0.5235211069215696,0.08228443816979028,0.6763705117740674,0.030096932800491576,0.008616032925208357,0.25602862329891174,-0.11355146660914506,-0.2468448535164184,1.0,-0.34193343304189333,0.40677135751897053,0.3123558865151887,0.22960619562578613,0.23636671372901258,0.04693469997512508,-0.40901235790667734,0.32331069738027984,-0.015118368424386616,0.025431278773321617,0.32335499200558476,-0.5706447466729704,0.24784987590969193,-0.13903599343320563,0.24071317925782426,-0.027711176611165567,0.4219601649071538,0.43195613327653803,0.3360657960151466,0.4075481233636199,-0.04579445717153457,-0.3797828700829034,0.5143796253917983,0.2073330900668928,0.2583996822240687,-0.055936326000017876,0.21799578354398186,0.3388213604360427,0.24099796374301305,0.16618255032932747,0.34325324237003235,0.4929945546231906,0.21848496126547862,0.10641199840192543,-0.04121032451139888
rough_sleeping_longterm_level,0.3193151747729847,0.28026665022889413,0.4277730869753591,0.3022232108051822,0.4109754702305099,0.28561252518046465,0.44435274848988043,0.37274524292701966,-0.3950985610445196,-0.31597412153787935,0.11565093020061024,0.03030271542765538,-0.06155299037248672,-0.2511313717800997,0.9448380875410342,-0.34193343304189333,1.0,-0.598717771089922,0.19686783692389773,0.05951516375577202,0.3373504825004064,0.6129234855341336,0.0685256335998638,-0.23413622517612456,-0.32703735232281705,0.16870033008427646,0.4452765425138058,-0.33108415854590906,0.6394012414919935,0.5093706474006383,0.5164793758273679,-0.5146122770461572,0.5248067527149362,0.39421559917348686,0.5736743576655945,0.33654477615207135,0.6370417704886093,0.2913435702666111,-0.14016736884302353,0.19755618791850602,0.47501975649369876,-0.04957840966772309,0.4794510766322044,0.43054425752772757,0.5202316275177921,0.5054700017272292,0.17181082107737342,0.3015650198713811,0.33926195311915547,0.05495268717072207,-0.4080972508081921
rough_sleeping_longterm_trend,-0.323043180214585,-0.40753186438902916,0.08000925291745108,0.052494664478111804,0.08755007189150077,0.045123321582310125,-0.11208704757733597,-0.011387830119959771,0.19046816019003882,-0.11595026623867236,-0.03133998871069197,-0.04541066204469696,0.09757375273353033,-0.14657542066751805,-0.45759118793338965,0.40677135751897053,-0.598717771089922,1.0,0.04506226201350286,0.036697565483945954,0.22811584877399257,-0.14411991299862495,0.34746897245655556,-0.3704893525179711,0.019504535625699388,-0.13606678560833768,0.11332187715616106,-0.10787933758974323,-0.12826351362177263,-0.49763833766850984,-0.1555792571830098,0.1792968751170126,-0.08741216296518449,-0.1629375886810165,-0.11788801628067462,0.03271897222043326,-0.1910119788700901,-0.2998244683863637,0.34746264289247847,0.0024806681465570153,0.06200351996905246,0.20156340149063567,0.06805339533463883,0.10960674635308112,-0.05324538879868691,0.07353786870782054,0.14694472208071316,0.10428582590250376,0.23313912805560752,-0.07482713104247234,0.19534339361518543
post16_18_positive_destination_pct_level,0.14319402892240515,0.05963750999260844,0.004271788131176961,0.19327480000286912,-0.011760757111266373,0.14694265617332447,-0.4959299845450266,-0.12294140176470406,0.390479160012967,0.035096335734655384,-0.5042065580430969,-0.12271418600865269,-0.2387292886883826,-0.24469838678861772,0.27078779075377757,0.3123558865151887,0.19686783692389773,0.04506226201350286,1.0,0.5175116336677144,0.2494480904554488,0.30670815638288873,-0.07265068428664438,-0.023308289619402966,-0.4026727836407438,0.3507642403151304,0.08023770618040445,-0.28103153176071966,0.2392147050491979,0.5310093950351401,0.1140601847042367,-0.4928978684476187,0.26383445941171757,0.3214831913989778,0.24607126243787428,0.247423718698705,0.21443086967765174,0.1864966380725677,0.14170989691139066,0.3487966270449909,0.13339636592248108,-0.36560368565719603,0.1864430535816083,0.21700224176912913,0.33782483053965695,0.12291450007898487,-0.1213200648682635,0.3584406625845171,0.10633722265638025,0.07726524814954888,-0.2968313845768066
post16_18_positive_destination_pct_trend,0.04557202832161084,-0.01647096118379256,-0.3500375934426333,-0.14501934910665576,-0.34871013487369257,-0.16200481144647014,-0.07106282500963482,-0.15466261953817792,0.34358545856252753,0.05688206365662919,-0.5984560234573963,-0.1528624769726175,-0.449603672147234,-0.4090462528676405,0.08609695755604926,0.22960619562578613,0.05951516375577202,0.036697565483945954,0.5175116336677144,1.0,-0.21453703593852833,-0.06961311305463358,0.03988733002318755,-0.09510758245430011,0.07306922104010147,-0.3093123473152418,-0.2985108682518493,0.0231703212296533,0.13286903901568878,0.2163548154710999,-0.2794711044999809,-0.19423323071719187,-0.07434579922242834,-0.1726364639020034,-0.1397684058672918,-0.2050025383682179,-0.3064852591384554,0.34596246771022776,-0.26813525121222054,0.23784359822930198,-0.28878757881116063,-0.12930297229913396,-0.2906075182006542,-0.24010924143571763,-0.19365724148488442,-0.2829211233318947,-0.3047453185099088,0.3271419827518141,0.14593165419366744,0.6522698510276039,0.22771124758057562
