indicator,local_authority,year,forecast,lower_95,upper_95,trend_slope
children_low_income_absolute,Chorley,2025,0.13179999999999925,0.11481602911833898,0.1487839708816595,0.0021818181818181823
children_low_income_absolute,Chorley,2026,0.13398181818181776,0.11699784730015748,0.15096578906347802,0.0021818181818181823
children_low_income_absolute,Chorley,2027,0.13616363636363626,0.11917966548197599,0.15314760724529652,0.0021818181818181823
children_low_income_absolute,Fylde,2025,0.14566666666666706,0.12352310851728303,0.16781022481605107,0.004321212121212122
children_low_income_absolute,Fylde,2026,0.14998787878787923,0.1278443206384952,0.17213143693726324,0.004321212121212122
children_low_income_absolute,Fylde,2027,0.1543090909090914,0.13216553275970738,0.1764526490584754,0.004321212121212122
children_low_income_absolute,Hyndburn,2025,0.34053333333333313,0.3022116916401521,0.37885497502651416,0.008624242424242421
children_low_income_absolute,Hyndburn,2026,0.34915757575757667,0.31083593406439564,0.3874792174507577,0.008624242424242421
children_low_income_absolute,Hyndburn,2027,0.3577818181818202,0.31946017648863917,0.39610345987500123,0.008624242424242421
children_low_income_absolute,Lancaster,2025,0.16740000000000066,0.13751039433941242,0.1972896056605889,0.002327272727272728
children_low_income_absolute,Lancaster,2026,0.16972727272727361,0.13983766706668538,0.19961687838786185,0.002327272727272728
children_low_income_absolute,Lancaster,2027,0.17205454545454568,0.14216493979395745,0.20194415111513392,0.002327272727272728
children_low_income_absolute,Pendle,2025,0.3816666666666677,0.33989894305722157,0.42343439027611385,0.009812121212121215
children_low_income_absolute,Pendle,2026,0.3914787878787891,0.34971106426934295,0.43324651148823523,0.009812121212121215
children_low_income_absolute,Pendle,2027,0.4012909090909105,0.35952318548146434,0.4430586327003566,0.009812121212121215
children_low_income_absolute,Preston,2025,0.24886666666666635,0.21635221304891922,0.2813811202844135,0.005157575757575758
children_low_income_absolute,Preston,2026,0.2540242424242418,0.2215097888064947,0.28653869604198895,0.005157575757575758
children_low_income_absolute,Preston,2027,0.25918181818181907,0.22666736456407194,0.2916962717995662,0.005157575757575758
children_low_income_absolute,Ribble Valley,2025,0.09980000000000055,0.08712968147060421,0.1124703185293969,0.0015636363636363645
children_low_income_absolute,Ribble Valley,2026,0.10136363636363654,0.0886933178342402,0.11403395489303289,0.0015636363636363645
children_low_income_absolute,Ribble Valley,2027,0.10292727272727298,0.09025695419787663,0.11559759125666932,0.0015636363636363645
children_low_income_absolute,Rossendale,2025,0.2044666666666659,0.17997096716531238,0.22896236616801943,0.0021757575757575752
children_low_income_absolute,Rossendale,2026,0.20664242424242385,0.18214672474107033,0.23113812374377737,0.0021757575757575752
children_low_income_absolute,Rossendale,2027,0.2088181818181818,0.18432248231682827,0.23331388131953532,0.0021757575757575752
children_low_income_absolute,South Ribble,2025,0.13893333333333313,0.12131723909418851,0.15654942757247775,0.0035515151515151506
children_low_income_absolute,South Ribble,2026,0.14248484848484821,0.1248687542457036,0.16010094272399283,0.0035515151515151506
children_low_income_absolute,South Ribble,2027,0.1460363636363633,0.12842026939721868,0.16365245787550792,0.0035515151515151506
children_low_income_absolute,West Lancashire,2025,0.167466666666666,0.14134355108840566,0.19358978224492632,0.004212121212121211
children_low_income_absolute,West Lancashire,2026,0.171678787878788,0.14555567230052766,0.19780190345704832,0.004212121212121211
children_low_income_absolute,West Lancashire,2027,0.1758909090909082,0.14976779351264788,0.20201402466916854,0.004212121212121211
children_low_income_absolute,Wyre,2025,0.1510666666666669,0.1344617144736212,0.1676716188597126,0.0016666666666666657
children_low_income_absolute,Wyre,2026,0.1527333333333334,0.1361283811402877,0.16933828552637908,0.0016666666666666657
children_low_income_absolute,Wyre,2027,0.15439999999999987,0.13779504780695417,0.17100495219304557,0.0016666666666666657
children_low_income_relative,Blackburn with Darwen,2025,0.41206666666666614,0.3749591946689589,0.4491741386643734,0.0075575757575757595
children_low_income_relative,Blackburn with Darwen,2026,0.41962424242424134,0.3825167704265341,0.4567317144219486,0.0075575757575757595
children_low_income_relative,Blackburn with Darwen,2027,0.42718181818181655,0.3900743461841093,0.4642892901795238,0.0075575757575757595
children_low_income_relative,Blackpool,2025,0.35200000000000387,0.32349968589647143,0.3805003141035363,0.013399999999999997
children_low_income_relative,Blackpool,2026,0.3654000000000046,0.3368996858964722,0.39390031410353704,0.013399999999999997
children_low_income_relative,Blackpool,2027,0.3788000000000018,0.35029968589646937,0.40730031410353423,0.013399999999999997
children_low_income_relative,Burnley,2025,0.3937999999999988,0.3554185610009665,0.4321814389990311,0.010636363636363638
children_low_income_relative,Burnley,2026,0.4044363636363606,0.3660549246373283,0.4428178026353929,0.010636363636363638
children_low_income_relative,Burnley,2027,0.4150727272727259,0.37669128827369364,0.4534541662717582,0.010636363636363638
children_low_income_relative,Chorley,2025,0.1676666666666673,0.1483012510955408,0.1870320822377938,0.003684848484848486
children_low_income_relative,Chorley,2026,0.1713515151515157,0.1519860995803892,0.1907169307226422,0.003684848484848486
children_low_income_relative,Chorley,2027,0.1750363636363641,0.1556709480652376,0.1944017792074906,0.003684848484848486
children_low_income_relative,Fylde,2025,0.18359999999999843,0.16299142589732346,0.2042085741026734,0.006472727272727275
children_low_income_relative,Fylde,2026,0.19007272727272628,0.1694641531700513,0.21068130137540125,0.006472727272727275
children_low_income_relative,Fylde,2027,0.19654545454545413,0.17593688044277916,0.2171540286481291,0.006472727272727275
children_low_income_relative,Hyndburn,2025,0.40393333333333103,0.37378877508076364,0.43407789158589843,0.010951515151515155
children_low_income_relative,Hyndburn,2026,0.41488484848484575,0.38474029023227835,0.44502940673741315,0.010951515151515155
children_low_income_relative,Hyndburn,2027,0.42583636363636046,0.39569180538379306,0.45598092188892786,0.010951515151515155
children_low_income_relative,Lancaster,2025,0.21539999999999893,0.18784493217375142,0.24295506782624643,0.004618181818181818
children_low_income_relative,Lancaster,2026,0.22001818181818145,0.19246311399193394,0.24757324964442895,0.004618181818181818
children_low_income_relative,Lancaster,2027,0.2246363636363622,0.1970812958101147,0.2521914314626097,0.004618181818181818
children_low_income_relative,Pendle,2025,0.44566666666666777,0.41057890082848536,0.48075443250485017,0.012121212121212118
children_low_income_relative,Pendle,2026,0.4577878787878795,0.4227001129496971,0.4928756446260619,0.012121212121212118
children_low_income_relative,Pendle,2027,0.4699090909090913,0.43482132507090887,0.5049968567472737,0.012121212121212118
children_low_income_relative,Preston,2025,0.30613333333333337,0.2782768336598175,0.33398983300684926,0.007442424242424241
children_low_income_relative,Preston,2026,0.31357575757575873,0.28571925790224284,0.3414322572492746,0.007442424242424241
children_low_income_relative,Preston,2027,0.3210181818181823,0.2931616821446664,0.3488746814916982,0.007442424242424241
children_low_income_relative,Ribble Valley,2025,0.12319999999999975,0.11179335721448397,0.13460664278551554,0.0026363636363636368
children_low_income_relative,Ribble Valley,2026,0.1258363636363633,0.11442972085084752,0.1372430064218791,0.0026363636363636368
children_low_income_relative,Ribble Valley,2027,0.12847272727272685,0.11706608448721106,0.13987937005824264,0.0026363636363636368
children_low_income_relative,Rossendale,2025,0.2545333333333346,0.232773828838085,0.2762928378285842,0.004460606060606062
children_low_income_relative,Rossendale,2026,0.25899393939394066,0.23723443489869106,0.28075344388919027,0.004460606060606062
children_low_income_relative,Rossendale,2027,0.2634545454545467,0.2416950409592971,0.2852140499497963,0.004460606060606062
children_low_income_relative,South Ribble,2025,0.17806666666666793,0.16200654984758991,0.19412678348574594,0.006048484848484847
children_low_income_relative,South Ribble,2026,0.18411515151515268,0.16805503469607466,0.2001752683342307,0.006048484848484847
children_low_income_relative,South Ribble,2027,0.19016363636363742,0.1741035195445594,0.20622375318271544,0.006048484848484847
children_low_income_relative,West Lancashire,2025,0.21506666666666696,0.19647297488529641,0.2336603584480375,0.0067757575757575765
children_low_income_relative,West Lancashire,2026,0.22184242424242484,0.2032487324610543,0.2404361160237954,0.0067757575757575765
children_low_income_relative,West Lancashire,2027,0.22861818181818272,0.21002449003681217,0.24721187359955327,0.0067757575757575765
children_low_income_relative,Wyre,2025,0.1972666666666658,0.17883293873839984,0.2157003945949318,0.004066666666666669
children_low_income_relative,Wyre,2026,0.20133333333333248,0.1828996054050665,0.21976706126159845,0.004066666666666669
children_low_income_relative,Wyre,2027,0.20539999999999914,0.18696627207173316,0.2238337279282651,0.004066666666666669
pct_adults_active_raw,Blackburn with Darwen,2026,0.35213333333333274,0.30646396958727545,0.39780269707939003,0.004896969696969699
pct_adults_active_raw,Blackburn with Darwen,2027,0.35703030303030303,0.31136093928424574,0.4026996667763603,0.004896969696969699
pct_adults_active_raw,Blackburn with Darwen,2028,0.3619272727272733,0.31625790898121603,0.4075966364733306,0.004896969696969699
pct_adults_active_raw,Blackpool,2026,0.3711999999999982,0.3243292803476686,0.4180707196523278,0.005490909090909094
pct_adults_active_raw,Blackpool,2027,0.3766909090909074,0.3298201894385778,0.423561628743237,0.005490909090909094
pct_adults_active_raw,Blackpool,2028,0.3821818181818166,0.33531109852948704,0.4290525378341462,0.005490909090909094
pct_adults_active_raw,Burnley,2026,0.31646666666666645,0.2764989742108539,0.356434359122479,0.001484848484848482
pct_adults_active_raw,Burnley,2027,0.3179515151515151,0.27798382269570254,0.35791920760732765,0.001484848484848482
pct_adults_active_raw,Burnley,2028,0.3194363636363633,0.27946867118055074,0.35940405609217585,0.001484848484848482
pct_adults_active_raw,Chorley,2026,0.23600000000000004,0.1951361685772681,0.27686383142273197,0.0003272727272727264
pct_adults_active_raw,Chorley,2027,0.23632727272727277,0.19546344130454082,0.2771911041500047,0.0003272727272727264
pct_adults_active_raw,Chorley,2028,0.2366545454545455,0.19579071403181356,0.27751837687727743,0.0003272727272727264
pct_adults_active_raw,Fylde,2026,0.25533333333333336,0.19241478925185185,0.31825187741481487,0.00013333333333333196
pct_adults_active_raw,Fylde,2027,0.2554666666666667,0.19254812258518517,0.3183852107481482,0.00013333333333333196
pct_adults_active_raw,Fylde,2028,0.2556,0.19268145591851848,0.3185185440814815,0.00013333333333333196
pct_adults_active_raw,Hyndburn,2026,0.3270666666666653,0.2890043554452595,0.3651289778880711,0.004121212121212121
pct_adults_active_raw,Hyndburn,2027,0.3311878787878779,0.2931255675664721,0.3692501900092837,0.004121212121212121
pct_adults_active_raw,Hyndburn,2028,0.33530909090909056,0.29724677968768476,0.37337140213049635,0.004121212121212121
pct_adults_active_raw,Lancaster,2026,0.23586666666666645,0.19148879970712485,0.28024453362620805,0.002793939393939394
pct_adults_active_raw,Lancaster,2027,0.23866060606060646,0.19428273910106486,0.28303847302014806,0.002793939393939394
pct_adults_active_raw,Lancaster,2028,0.2414545454545456,0.197076678495004,0.2858324124140872,0.002793939393939394
pct_adults_active_raw,Pendle,2026,0.3288666666666664,0.26420506340597966,0.3935282699273532,0.003448484848484847
pct_adults_active_raw,Pendle,2027,0.332315151515151,0.26765354825446425,0.39697675477583777,0.003448484848484847
pct_adults_active_raw,Pendle,2028,0.3357636363636356,0.27110203310294884,0.40042523962432236,0.003448484848484847
pct_adults_active_raw,Preston,2026,0.29573333333333274,0.25012135859516627,0.3413453080714992,0.005078787878787882
pct_adults_active_raw,Preston,2027,0.30081212121212,0.2552001464739535,0.34642409595028645,0.005078787878787882
pct_adults_active_raw,Preston,2028,0.305890909090909,0.2602789343527425,0.35150288382907546,0.005078787878787882
pct_adults_active_raw,Ribble Valley,2026,0.18886666666666674,0.15451743896241105,0.22321589437092243,-0.0028606060606060617
pct_adults_active_raw,Ribble Valley,2027,0.1860060606060605,0.15165683290180482,0.2203552883103162,-0.0028606060606060617
pct_adults_active_raw,Ribble Valley,2028,0.18314545454545428,0.1487962268411986,0.21749468224970997,-0.0028606060606060617
pct_adults_active_raw,Rossendale,2026,0.20993333333333197,0.18178276387248984,0.2380839027941741,-0.009430303030303032
pct_adults_active_raw,Rossendale,2027,0.20050303030302885,0.17235246084218672,0.22865359976387098,-0.009430303030303032
pct_adults_active_raw,Rossendale,2028,0.19107272727272573,0.1629221578118836,0.21922329673356786,-0.009430303030303032
pct_adults_active_raw,South Ribble,2026,0.24513333333333254,0.1989370678460693,0.2913295988205958,-0.0027030303030303043
pct_adults_active_raw,South Ribble,2027,0.24243030303030277,0.19623403754303953,0.288626568517566,-0.0027030303030303043
pct_adults_active_raw,South Ribble,2028,0.23972727272727212,0.19353100724000888,0.28592353821453537,-0.0027030303030303043
pct_adults_active_raw,West Lancashire,2026,0.2543333333333333,0.21000459991965897,0.2986620667470076,-0.0017575757575757568
pct_adults_active_raw,West Lancashire,2027,0.25257575757575745,0.20824702416208313,0.2969044909894318,-0.0017575757575757568
pct_adults_active_raw,West Lancashire,2028,0.2508181818181816,0.20648944840450728,0.29514691523185593,-0.0017575757575757568
pct_adults_active_raw,Wyre,2026,0.2716000000000003,0.2112282976341942,0.33197170236580636,-0.003527272727272731
